tahun,bulan,tempat_wisata,jumlah
2018,12,Taman Impian Jaya Ancol,1801476
2018,12,Taman Mini Indonesia Indah,567401
2018,12,Taman Margasatwa Ragunan,402761
2018,12,Monumen Nasional,257071
2018,12,Museum Nasional,26445
2018,12,Museum Satria Mandala,461
2018,12,Museum Sejarah Jakarta,140768
2018,12,Museum Tekstil,4301
2018,12,Museum Bahari,3475
2018,12,Museum Seni Rupa dan Keramik,27526
2018,12,Museum Wayang,50245
2018,12,Museum Joang 45 dan Thamrin,4110
2018,12,Taman Arkeologi Onrust,3876
2018,12,Pelabuhan Sunda Kelapa,4254
2018,12,Kepulauan Seribu,43280
2018,12,PBB Setu babakan,35830
2018,12,Museum Prasasti,3195
2018,12,Planetarium,23190
2018,12,Rumah si Pitung,3435
2020,10,Taman Impian Jaya Ancol,1978996
2020,10,Taman Mini Indonesia Indah,962277
2020,10,Taman Margasatwa Ragunan,600470
2020,10,Monumen Nasional,443034
2020,10,Museum Nasional,65308
2020,10,Museum Satria Mandala,0
2020,10,Museum Sejarah Jakarta,2864
2020,10,Museum Tekstil,96
2020,10,Museum Bahari,383
2020,10,Museum Seni Rupa dan Keramik,422
2020,10,Museum Wayang,1390
2020,10,Museum Joang 45,249
2020,10,Taman Arkeologi Onrust,2783
2020,10,Pelabuhan Sunda Kelapa,2232
2020,10,Kepulauan Seribu,14944
2020,10,PBB Setu babakan,10372
2020,10,Museum Prasasti,203
2020,10,Planetarium,0
2020,10,Rumah si Pitung,1342
2020,10,Kawasan Kota Tua,8618
2020,1,Taman Impian Jaya Ancol,620327.0
2020,1,Taman Mini Indonesia Indah,272960.0
2020,1,Taman Margasatwa Ragunan,289748.0
2020,1,Monumen Nasional,24.325
2020,1,Museum Nasional,18145.0
2020,1,Museum Satria Mandala,2046.0
2020,1,Museum Sejarah Jakarta,66251.0
2020,1,Museum Tekstil,2658.0
2020,1,Museum Bahari,2087.0
2020,1,Museum Seni Rupa dan Keramik,12190.0
2020,1,Museum Wayang,21231.0
2020,1,Museum Joang 45,581.0
2020,1,Taman Arkeologi Onrust,2200.0
2020,1,Pelabuhan Sunda Kelapa,931.0
2020,1,Kepulauan Seribu,31041.0
2020,1,PBB Setu babakan,35369.0
2020,1,Museum Prasasti,1030.0
2020,1,Planetarium,9654.0
2020,1,Rumah si Pitung,2048.0
2020,1,Kawasan Kota Tua,456902.0
2018,5,Taman Impian Jaya Ancol,1500023
2018,5,Taman Mini Indonesia Indah,500013
2018,5,Taman Margasatwa Ragunan,350254
2018,5,Monumen Nasional,103522
2018,5,Museum Nasional,28047
2018,5,Museum Satria Mandala,1451
2018,5,Museum Sejarah Jakarta,30978
