tahun,bulan,destinasi_wisata,jumlah
2019,08,Taman Impian Jaya Ancol,610863
2019,08,Taman Mini Indonesia Indah,350143
2019,08,Taman Margasatwa Ragunan,215935
2019,08,Monumen Nasional (kawasan),1228515
2019,08,Museum Nasional,12546
2019,08,Museum Satria Mandala,801
2019,08,Museum Sejarah Jakarta,36090
2019,08,Museum Tekstil,2697
2019,08,Museum Bahari,1605
2019,08,Museum Seni Rupa dan Keramik,10986
2019,08,Museum Wayang,19107
2019,08,Museum Joang 45 dan Thamrin,1675
2019,08,Taman Arkeologi Onrust,4049
2019,08,Pelabuhan Sunda Kelapa,2354
2019,08,Kepulauan Seribu,31805
2019,08,PBB Setu babakan,37335
2019,08,Museum Prasasti,781
2019,08,Planetarium,9412
2019,08,Rumah si Pitung,1363
2019,08,Kawasan Kota Tua,398094
