tahun,bulan,destinasi_wisata,jumlah
2019,04,Taman Impian Jaya Ancol,845145
2019,04,Taman Mini Indonesia Indah,480513
2019,04,Taman Margasatwa Ragunan,450511
2019,04,Monumen Nasional,514216
2019,04,Museum Nasional,23112
2019,04,Museum Satria Mandala,1701
2019,04,Museum Sejarah Jakarta,57092
2019,04,Museum Tekstil,3639
2019,04,Museum Bahari,2540
2019,04,Museum Seni Rupa dan Keramik,13685
2019,04,Museum Wayang,28110
2019,04,Museum Joang 45 dan Thamrin,2812
2019,04,Taman Arkeologi Onrust,3672
2019,04,Pelabuhan Sunda Kelapa,1320
2019,04,Kepulauan Seribu,44637
2019,04,PBB Setu babakan,40674
2019,04,Museum Prasasti,1580
2019,04,Planetarium,59693
2019,04,Rumah si Pitung,4356
