tahun,bulan,destinasi_wisata,jumlah
2019,02,Taman Impian Jaya Ancol,965432
2019,02,Taman Mini Indonesia Indah,350965
2019,02,Taman Margasatwa Ragunan,243216
2019,02,Monumen Nasional,142591
2019,02,Museum Nasional,17654
2019,02,Museum Satria Mandala,1187
2019,02,Museum Sejarah Jakarta,58012
2019,02,Museum Tekstil,2821
2019,02,Museum Bahari,3887
2019,02,Museum Seni Rupa dan Keramik,16545
2019,02,Museum Wayang,28858
2019,02,Museum Joang 45 dan Thamrin,1408
2019,02,Taman Arkeologi Onrust,973
2019,02,Pelabuhan Sunda Kelapa,2316
2019,02,Kepulauan Seribu,18237
2019,02,PBB Setu babakan,34883
2019,02,Museum Prasasti,631
2019,02,Planetarium,16104
2019,02,Rumah si Pitung,2335
