tahun,bulan,destinasi_wisata,jumlah
2019,07,Taman Impian Jaya Ancol,1066473
2019,07,Taman Mini Indonesia Indah,465162
2019,07,Taman Margasatwa Ragunan,656146
2019,07,Monumen Nasional (kawasan),1616154
2019,07,Museum Nasional,1345
2019,07,Museum Satria Mandala,789
2019,07,Museum Sejarah Jakarta,79461
2019,07,Museum Tekstil,1632
2019,07,Museum Bahari,2333
2019,07,Museum Seni Rupa dan Keramik,20483
2019,07,Museum Wayang,38063
2019,07,Museum Joang 45 dan Thamrin,759
2019,07,Taman Arkeologi Onrust,655
2019,07,Pelabuhan Sunda Kelapa,2456
2019,07,Kepulauan Seribu,63279
2019,07,PBB Setu babakan,61046
2019,07,Museum Prasasti,823
2019,07,Planetarium,12104
2019,07,Rumah si Pitung,426
2019,07,Kawasan Kota Tua,971279
