tahun,bulan,destinasi_wisata,jumlah
2019,6,Taman Impian Jaya Ancol,1351619
2019,6,Taman Mini Indonesia Indah,481788
2019,6,Taman Margasatwa Ragunan,1127494
2019,6,Monumen Nasional,1436125
2019,6,Museum Nasional,25321
2019,6,Museum Satria Mandala,1109
2019,6,Museum Sejarah Jakarta,125807
2019,6,Museum Tekstil,2209
2019,6,Museum Bahari,2292
2019,6,Museum Seni Rupa dan Keramik,42840
2019,6,Museum Wayang,61121
2019,6,Museum Joang 45 dan Thamrin,1750
2019,6,Taman Arkeologi Onrust,7986
2019,6,Pelabuhan Sunda Kelapa,1232
2019,6,Kepulauan Seribu,115541
2019,6,PBB Setu babakan,84999
2019,6,Museum Prasasti,842
2019,6,Planetarium,17288
2019,6,Rumah si Pitung,6738
2019,6,Kawasan Kotatua,1304879
