tahun,bulan,destinasi_wisata,jumlah
2019,03,Taman Impian Jaya Ancol,991778
2019,03,Taman Mini Indonesia Indah,405124
2019,03,Taman Margasatwa Ragunan,345016
2019,03,Monumen Nasional,159760
2019,03,Museum Nasional,29178
2019,03,Museum Satria Mandala,1679
2019,03,Museum Sejarah Jakarta,61791
2019,03,Museum Tekstil,3685
2019,03,Museum Bahari,2305
2019,03,Museum Seni Rupa dan Keramik,14486
2019,03,Museum Wayang,28035
2019,03,Museum Joang 45 dan Thamrin,1916
2019,03,Taman Arkeologi Onrust,2960
2019,03,Pelabuhan Sunda Kelapa,1025
2019,03,Kepulauan Seribu,36783
2019,03,PBB Setu babakan,38596
2019,03,Museum Prasasti,1082
2019,03,Planetarium,16350
2019,03,Rumah si Pitung,2887
