tahun,bulan,destinasi_wisata,jumlah
2019,05,Taman Impian Jaya Ancol,978936
2019,05,Taman Mini Indonesia Indah,320134
2019,05,Taman Margasatwa Ragunan,204698
2019,05,Monumen Nasional,48679
2019,05,Museum Nasional,17546
2019,05,Museum Satria Mandala,746
2019,05,Museum Sejarah Jakarta,17734
2019,05,Museum Tekstil,1948
2019,05,Museum Bahari,1047
2019,05,Museum Seni Rupa dan Keramik,3046
2019,05,Museum Wayang,8358
2019,05,Museum Joang 45 dan Thamrin,953
2019,05,Taman Arkeologi Onrust,1928
2019,05,Pelabuhan Sunda Kelapa,954
2019,05,Kepulauan Seribu,15402
2019,05,PBB Setu babakan,10021
2019,05,Museum Prasasti,506
2019,05,Planetarium,2263
2019,05,Rumah si Pitung,1551
