tahun,bulan,destinasi_wisata,jumlah
2019,10,Taman Impian Jaya Ancol,579221
2019,10,Taman Mini Indonesia Indah,298031
2019,10,Taman Margasatwa Ragunan,302576
2019,10,Monumen Nasional (kawasan),1290753
2019,10,Museum Nasional,10441
2019,10,Museum Satria Mandala,605
2019,10,Museum Sejarah Jakarta,35747
2019,10,Museum Tekstil,2621
2019,10,Museum Bahari,1336
2019,10,Museum Seni Rupa dan Keramik,8464
2019,10,Museum Wayang,16541
2019,10,Museum Joang 45 dan Thamrin,1979
2019,10,Taman Arkeologi Onrust,3197
2019,10,Pelabuhan Sunda Kelapa,2095
2019,10,Kepulauan Seribu,52545
2019,10,PBB Setu babakan,32727
2019,10,Museum Prasasti,767
2019,10,Planetarium,6189
2019,10,Rumah si Pitung,948
2019,10,Kawasan Kota Tua,450409
