tahun,bulan,destinasi_wisata,jumlah
2019,9,Taman Impian Jaya Ancol,585215
2019,9,Taman Mini Indonesia Indah,301451
2019,9,Taman Margasatwa Ragunan,317049
2019,9,Monumen Nasional (kawasan),666990
2019,9,Museum Nasional,11241
2019,9,Museum Satria Mandala,687
2019,9,Museum Sejarah Jakarta,33526
2019,9,Museum Tekstil,2627
2019,9,Museum Bahari,1455
2019,9,Museum Seni Rupa dan Keramik,9430
2019,9,Museum Wayang,14883
2019,9,Museum Joang 45 dan Thamrin,1133
2019,9,Taman Arkeologi Onrust,3361
2019,9,Pelabuhan Sunda Kelapa,2274
2019,9,Kepulauan Seribu,37788
2019,9,PBB Setu babakan,38771
2019,9,Museum Prasasti,618
2019,9,Planetarium,12206
2019,9,Rumah si Pitung,2140
2019,9,Kawasan Kota Tua,387941
