tahun,bulan,destinasi_wisata,jumlah
2018,11,Taman Impian Jaya Ancol,1650221
2018,11,Taman Mini Indonesia Indah,403551
2018,11,Taman Margasatwa Ragunan,339574
2018,11,Monumen Nasional,117225
2018,11,Museum Nasional,23951
2018,11,Museum Satria Mandala,325
2018,11,Museum Sejarah Jakarta,51801
2018,11,Museum Tekstil,5001
2018,11,Museum Bahari,1942
2018,11,Museum Seni Rupa dan Keramik,8256
2018,11,Museum Wayang,20916
2018,11,Museum Joang 45 dan Thamrin,1597
2018,11,Taman Arkeologi Onrust,2496
2018,11,Pelabuhan Sunda Kelapa,4021
2018,11,Kepulauan Seribu,38389
2018,11,PBB Setu babakan,31870
2018,11,Museum Prasasti,715
2018,11,Planetarium,13390
2018,11,Rumah si Pitung,2090
