tahun,bulan,tempat_wisata,jumlah
2018,08,Taman Impian Jaya Ancol,1597859
2018,08,Taman Mini Indonesia Indah,498765
2018,08,Taman Margasatwa Ragunan,300345
2018,08,Monumen Nasional,137873
2018,08,Museum Nasional,9078
2018,08,Museum Satria Mandala,988
2018,08,Museum Sejarah Jakarta,46678
2018,08,Museum Tekstil,2808
2018,08,Museum Bahari,7911
2018,08,Museum Seni Rupa dan Keramik,10510
2018,08,Museum Wayang,23691
2018,08,Museum Joang 45 dan Thamrin,857
2018,08,Taman Arkeologi Onrust,5498
2018,08,Pelabuhan Sunda Kelapa,2671
2018,08,Kepulauan Seribu,40038
2018,08,PBB Setu babakan,20816
2018,08,Museum Prasasti,620
2018,08,Planetarium,11446
2018,08,Rumah si Pitung,4786
