tahun,bulan,tempat_wisata,jumlah
2018,04,Taman Impian Jaya Ancol,1031219
2018,04,Taman Mini Indonesia Indah,49912
2018,04,Taman Margasatwa Ragunan,316583
2018,04,Monumen Nasional,144018
2018,04,Museum Nasional,27004
2018,04,Museum Satria Mandala,154
2018,04,Museum Sejarah Jakarta,6021
2018,04,Museum Tekstil,2942
2018,04,Museum Bahari,2707
2018,04,Museum Seni Rupa dan Keramik,14822
2018,04,Museum Wayang,30552
2018,04,Museum Joang 45 dan Thamrin,1891
2018,04,Taman Arkeologi Onrust,8418
2018,04,Pelabuhan Sunda Kelapa,4277
2018,04,Kepulauan Seribu,62434
2018,04,PBB Setu babakan,37249
2018,04,Museum Prasasti,690
2018,04,Planetarium,21285
2018,04,Rumah si Pitung,3998
