tahun,bulan,tempat_wisata,jumlah
2018,02,Taman Impian Jaya Ancol,944173
2018,02,Taman Mini Indonesia Indah,375001
2018,02,Taman Margasatwa Ragunan,239365
2018,02,Monumen Nasional,120166
2018,02,Museum Nasional,18330
2018,02,Museum Satria Mandala,1254
2018,02,Museum Sejarah Jakarta,49170
2018,02,Museum Tekstil,3942
2018,02,Museum Bahari,1813
2018,02,Museum Seni Rupa dan Keramik,14628
2018,02,Museum Wayang,27896
2018,02,Museum Joang 45 dan Thamrin,1512
2018,02,Taman Arkeologi Onrust,3594
2018,02,Pelabuhan Sunda Kelapa,4650
2018,02,Kepulauan Seribu,33780
2018,02,PBB Setu babakan,24278
2018,02,Museum Prasasti,2104
2018,02,Planetarium,21118
2018,02,Rumah si Pitung,2420
