tahun,bulan,tempat_wisata,jumlah
2018,01,Taman Impian Jaya Ancol,1506955
2018,01,Taman Mini Indonesia Indah,434508
2018,01,Taman Margasatwa Ragunan,482233
2018,01,Monumen Nasional,216941
2018,01,Museum Nasional,21604
2018,01,Museum Satria Mandala,1966
2018,01,Museum Sejarah Jakarta,82078
2018,01,Museum Tekstil,3700
2018,01,Museum Bahari,2468
2018,01,Museum Seni Rupa dan Keramik,21995
2018,01,Museum Wayang,38129
2018,01,Museum Joang 45 dan Thamrin,1473
2018,01,Taman Arkeologi Onrust,5174
2018,01,Pelabuhan Sunda Kelapa,3587
2018,01,Kepulauan Seribu,58788
2018,01,PBB Setu babakan,38167
2018,01,Museum Prasasti,734
2018,01,Planetarium,29230
2018,01,Rumah si Pitung,5156
