tahun,bulan,tempat_wisata,jumlah
2018,07,Taman Impian Jaya Ancol,1659321
2018,07,Taman Mini Indonesia Indah,554021
2018,07,Taman Margasatwa Ragunan,370124
2018,07,Monumen Nasional,186720
2018,07,Museum Nasional,14031
2018,07,Museum Satria Mandala,1437
2018,07,Museum Sejarah Jakarta,81946
2018,07,Museum Tekstil,2290
2018,07,Museum Bahari,11921
2018,07,Museum Seni Rupa dan Keramik,17794
2018,07,Museum Wayang,35458
2018,07,Museum Joang 45 dan Thamrin,869
2018,07,Taman Arkeologi Onrust,6431
2018,07,Pelabuhan Sunda Kelapa,3021
2018,07,Kepulauan Seribu,69530
2018,07,PBB Setu babakan,69090
2018,07,Museum Prasasti,725
2018,07,Planetarium,19723
2018,07,Rumah si Pitung,5503
