tahun,bulan,tempat_wisata,jumlah
2018,06,Taman Impian Jaya Ancol,1721013
2018,06,Taman Mini Indonesia Indah,604542
2018,06,Taman Margasatwa Ragunan,405761
2018,06,Monumen Nasional,205141
2018,06,Museum Nasional,32768
2018,06,Museum Satria Mandala,1654
2018,06,Museum Sejarah Jakarta,105126
2018,06,Museum Tekstil,2045
2018,06,Museum Bahari,1514
2018,06,Museum Seni Rupa dan Keramik,28612
2018,06,Museum Wayang,42911
2018,06,Museum Joang 45 dan Thamrin,854
2018,06,Taman Arkeologi Onrust,6352
2018,06,Pelabuhan Sunda Kelapa,6632
2018,06,Kepulauan Seribu,133595
2018,06,PBB Setu babakan,55723
2018,06,Museum Prasasti,858
2018,06,Planetarium,8811
2018,06,Rumah si Pitung,5095
