tahun,bulan,tempat_wisata,jumlah
2018,03,Taman Impian Jaya Ancol,1445553
2018,03,Taman Mini Indonesia Indah,502883
2018,03,Taman Margasatwa Ragunan,318348
2018,03,Monumen Nasional,152565
2018,03,Museum Nasional,25332
2018,03,Museum Satria Mandala,1301
2018,03,Museum Sejarah Jakarta,60626
2018,03,Museum Tekstil,3923
2018,03,Museum Bahari,1676
2018,03,Museum Seni Rupa dan Keramik,16306
2018,03,Museum Wayang,33803
2018,03,Museum Joang 45 dan Thamrin,1624
2018,03,Taman Arkeologi Onrust,7238
2018,03,Pelabuhan Sunda Kelapa,3215
2018,03,Kepulauan Seribu,60881
2018,03,PBB Setu babakan,29657
2018,03,Museum Prasasti,841
2018,03,Planetarium,22908
2018,03,Rumah si Pitung,2807
