tahun,bulan,tempat_wisata,jumlah
2018,05,Taman Impian Jaya Ancol,1500023
2018,05,Taman Mini Indonesia Indah,500013
2018,05,Taman Margasatwa Ragunan,350254
2018,05,Monumen Nasional,103522
2018,05,Museum Nasional,28047
2018,05,Museum Satria Mandala,1451
2018,05,Museum Sejarah Jakarta,30978
2018,05,Museum Tekstil,2137
2018,05,Museum Bahari,3305
2018,05,Museum Seni Rupa dan Keramik,7539
2018,05,Museum Wayang,1955
2018,05,Museum Joang 45 dan Thamrin,881
2018,05,Taman Arkeologi Onrust,4034
2018,05,Pelabuhan Sunda Kelapa,5521
2018,05,Kepulauan Seribu,34304
2018,05,PBB Setu babakan,23062
2018,05,Museum Prasasti,494
2018,05,Planetarium,12555
2018,05,Rumah si Pitung,3845
