tahun,bulan,tempat_wisata,jumlah
2018,10,Taman Impian Jaya Ancol,1643864
2018,10,Taman Mini Indonesia Indah,401598
2018,10,Taman Margasatwa Ragunan,334685
2018,10,Monumen Nasional,156648
2018,10,Museum Nasional,24103
2018,10,Museum Satria Mandala,305
2018,10,Museum Sejarah Jakarta,52503
2018,10,Museum Tekstil,4939
2018,10,Museum Bahari,2891
2018,10,Museum Seni Rupa dan Keramik,11628
2018,10,Museum Wayang,25865
2018,10,Museum Joang 45 dan Thamrin,1557
2018,10,Taman Arkeologi Onrust,4292
2018,10,Pelabuhan Sunda Kelapa,3946
2018,10,Kepulauan Seribu,39547
2018,10,PBB Setu babakan,28213
2018,10,Museum Prasasti,644
2018,10,Planetarium,17707
2018,10,Rumah si Pitung,2010
