tahun,bulan,tempat_wisata,jumlah
2018,09,Taman Impian Jaya Ancol,1600051
2018,09,Taman Mini Indonesia Indah,476301
2018,09,Taman Margasatwa Ragunan,250321
2018,09,Monumen Nasional,143508
2018,09,Museum Nasional,8841
2018,09,Museum Satria Mandala,857
2018,09,Museum Sejarah Jakarta,49502
2018,09,Museum Tekstil,3493
2018,09,Museum Bahari,9761
2018,09,Museum Seni Rupa dan Keramik,10714
2018,09,Museum Wayang,23299
2018,09,Museum Joang 45 dan Thamrin,1442
2018,09,Taman Arkeologi Onrust,4951
2018,09,Pelabuhan Sunda Kelapa,2594
2018,09,Kepulauan Seribu,48033
2018,09,PBB Setu babakan,33749
2018,09,Museum Prasasti,695
2018,09,Planetarium,11200
2018,09,Rumah si Pitung,3976
