;Place_Id;News_No;News;Link
0;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Italia akan membangun tempat pemakaman Islam pertama di negara tersebut. Pemakaman itu akan terletak di Tagliatella atau beberapa kilometer dari kota Roma. Dikutip dari Arab News, Jumat (5/6/2020) pemakaman itu akan di bangun di atas lahan seluas 400 hektar dan mampu menampung hingga 16.000 petak makam. ""Kami akan menyebutnya 'Taman Kedamaian'. Pemakaman ini memungkinkan Muslim generasi kedua dan ketiga yang tinggal di Italia bisa menghindari situasi yang mungkin lebih parah dari pandemi virus Corona ini,"" kata Presiden Asosiasi Dhuumcatu Bengali, Bachcu Dhuumcatu. 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   Adapun, harga yang diusulkan untuk lahan area pemakaman seharga USD 7,8 juta atau setara dengan Rp 109,2 miliar. Namun, situs tersebut belum bisa dibeli sampai waktu yang ditentukan. Rencananya, pemakaman itu akan dihiasi dengan pohon-pohon palem, dan air mancur. Diusulkan juga untuk dibangun sekolah Al-Quran, pusat olahraga, dan tempat penyembelihan hewan halal. Lebih lanjut, Dhuumcatu menjelaskan selama ini umat Islam di Italia mengandalkan Municipal Cimitero Roma sebagai tempat pemakaman. Hanya saja, lokasi tersebut terlalu kecil dan tidak dapat menampung semua permintaan. Pihaknya pun menemukan lokasi di Tagliatella dan melakukan pembicaraan beberapa bulan yang lalu. Namun, diskusi tersebut harus dihentikan sementara karena pandemi virus Corona yang berlangsung. Hukum Italia sendiri berpegang bahwa komunitas Islam harus membeli tanah tersebut, lalu disumbangkan kepada kotamadya Fiumicino. Dalam perjanjian itu dijelaskan bahwa tanah akan diubah menjadi pemakaman. ""Jika kita sukses, kita akhirnya bisa dimakamkan menghadap Mekah dan diangkat oleh delapan orang, semua hal yang tidak pernah terjadi pada kita sejauh ini,"" ungkap dia. Seperti diketahui, hanya 58 dari 8.000 kota di Italia yang memiliki ruang untuk pemakaman. Namun di tengah pandemi virus Corona lokasi itu semakin terbatas. Akhirnya membuat kurangnya pemakaman Muslim. Sementara itu, Asosiasi Bengali Roma telah mengajukan crowdfunding atau donasi dana massal dari 2,6 juta Muslim yang tinggal di Italia guna membantu pembangunan pemakaman khusus Muslim. 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/travel-news/d-5042556/italia-bakal-punya-tempat-pemakaman-islam-pertama
1;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Kepala Dinas Pariwisata dan Kebudayaan Jawa Barat Dedi Taufik menyebutkan beberapa daerah yang masuk kategori biru, seperti Kabupaten Pangandaran mulai membuka objek wisata secara bertahap, yang rencananya dimulai Jumat (5/6/2020). Dedi mengatakan, kendati begitu, pemerintah Kabupaten Pangandaran memastikan tidak sembarang wisatawan yang bisa datang, khususnya mereka yang datang dari zona merah. Pemeriksaan domisili di setiap wilayah perbatasan di Kabupaten Pangandaran hingga menuju kawasan pantai. Syarat lainnya, wisatawan harus dapat menunjukkan keterangan sehat dan bebas COVID-19, baik rapid test maupun PCR. Setelah tiba di lokasi wisata, individu atau rombongan kecil harus tetap mengenakan masker dan tak berkerumun. 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   Bila tak memenuhi syarat, pada tahap pertama ini, wisatawan tidak diperbolehkan masuk ke kawasan wisata di Pangandaran. ""Menjamin keselamatan warga melalui protokol kesehatan di tengah ancaman penularan, sangat penting dan menjadi kunci utama kebangkitan industri pariwisata di Jawa Barat,"" kata saat dihubungi, Jumat (5/6/2020). ""Oleh sebab itu level kewaspadaan wilayah menjadi penting sebagai dasar proporsi aktivitas yang diperbolehkan. Tentu kami akan melakukan pengawasan dan terus berkoordinasi dengan daerah yang akan membuka tempat pariwisata,"" ia melanjutkan. Dedi mengatakan, penerapan protokol kesehatan dilakukan secara ketat oleh semua penyedia jasa penginapan, restoran dan pelaku usaha lainnya. Selain di Kabupaten Pangandaran, pemantauan serupa sudah ia sebut sudah dilakukan di sejumlah destinasi wisata, hotel, mall di wilayah Cirebon, Kuningan, Tasikmalaya hingga Garut. ""Geliat industri pariwisata dan kebudayaan yang terpuruk di tengah pandemi harus bisa bangkit. Tapi, tidak serta merta harus membuka dengan bebas. Semua kebijakan harus tetap menitikberatkan pada sisi kesehatan juga. Ini yang akan kami terus ingatkan dan pantau,"" kata dia. 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/domestic-destination/d-5042630/mau-wisata-ke-pantai-pangandaran-ini-persyaratannya
2;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Seorang penumpang melayangkan protes kepada maskapai British Airways. Tidak ada social distancing di dalam penerbangan yang dia naiki.Penumpang itu menyebutkan dalam media sosial miliknya bahwa kepadatan penumpang begitu terasa sejak saat naik pesawat hingga turun di bandara. Semua kursi pesawat nyaris terisi penumpang. Hanya menyisakan 1-2 kursi yang kosong.Dihimpun detikTravel dari beberapa sumber, Sabtu (6/6/2020), peristiwa tersebut terjadi di penerbangan British Airways bernomor BA1307 yang terbang dari Inggris menuju ke Gibraltar pada Sabtu (30/5). Pria berkebangsaan Gibraltar itu pun khawatir akan penularan virus Corona di pesawat tersebut karena minimnya social distancing antar penumpang.""Pesawatnya penuh. Saya hanya melihat satu atau dua kursi yang kosong dan mereka (pramugari -red) meminta orang-orang untuk memegang tas mereka sendiri,"" ujar pria tersebut.Menurut penumpang pria tadi, kebanyakan penumpang di penerbangan tersebut bukanlah turis, melainkan warga Spanyol dan Gibraltar. Meski semua penumpang mengenakan masker, tapi dia tetap ngeri karena tidak adanya jarak di antara mereka. Apalagi, kru kabin yang saat itu bertugas tidak mengenakan masker.""Sungguh terasa aneh, jika kamu turun dari pesawat dengan dempet-dempetan, tapi begitu di bandara kamu menjaga jarak lagi,"" kata pria itu. Sementara itu, juru bicara maskapai British Airways menyebut pihaknya sudah mengikuti petunjuk dari pemerintah Inggris dan juga WHO. ""Kami sudah mengambil langkah-langkah untuk mengurangi kontak antara penumpang dan kru pesawat. Seperti moda transportasi lainnya, kami memastikan penumpang bisa pulang dan obat-obatan bisa tersampaikan. Tim kami bekerja dengan sangat hebat,"" ujar juru bicara tersebut. 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
    
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/travel-news/d-5042726/penumpang-protes-tak-ada-jaga-jarak-di-pesawat-british-airways
3;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Wisata kuliner, belanja dan nongkrong adalah aktivitas liburan yang dekat dengan millennial. Australia punya semuanya.Mungkin kamu sudah mulai merencanakan liburan setelah pandemi Corona. Ada begitu banyak nama, semoga Australia jadi salah satunya. Karena Negeri Kanguru ini tahu cara menyambutmu. ""Australia cocok untuk anak muda, ada banyak tempat hangout seperti bar saat malam hari,"" tutur Country Manager Tourism Australia Agitya Nuraini, dalam Live Instagram beberapa waktu lalu. Begitu juga untuk muda-mudi penggila belanja. Australia punya banyak tempat shopping yang jadi pilihan. ""Bedanya tempat-tempat belanja di Aussie hanya buka sampai jam 6 sore,"" jelasnya. Uniknya, Australia punya program late night shopping. Program ini tidak serempak dan memiliki jadwal yang berbeda di tiap negara bagian. Late night shopping akan diberlakukan setiap minggu. Tiap negara bagian memiliki hari yang berbeda-beda. Misalnya Sydney di hari Kamis.""Tapi late night shopping di sini cuma sampai jam 10 malam saja,"" ungkapnya.Untuk kulineran, traveler tak perlu khawatir. Australia adalah rumah bagi banyak pendatang. Sehingga Australia tumbuh menjadi negara yang multiculture. ""Bukan cuma masakan western, ada chinese food, Jepang, mediteranian dan kuliner Indonesia. Banyak yang halal,"" ujarnya. 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   Satu hal yang harus dicoba saat di Australia adalah makanan laut yang segar. Traveler bisa mencobanya di Sydney Fish Market, sebuah tempat lelang ikan kualitas yang bisa didatangi saat pagi hari. Kamu bisa beli seafood dan langsung di masak di sana. ""Kalau suka yang ekstrem coba makan daging kanguru. Daging kanguru sehat karena enggak ada lemaknya. Rasanya kayak beef tapi lebih lembut. Oh iya, ada oyster juga kalau kamu pergi ke Tasmania. Oyster ditangkap dan langsung makan,"" pungkasnya. 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/travel-news/d-5042406/milenial-mau-ke-australia-simak-info-belanja-dan-kuliner-uniknya
4;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Dinas Pariwisata DI Yogyakarta telah melakukan finalisasi SOP dan protokol kesehatan untuk sektor pariwisata. Pekan depan akan dilakukan simulasi dan uji coba di beberapa tempat wisata. Kepala Dinas Pariwisata Daerah Istimewa Yogyakarta (DIY), Singgih Rahardjo mengatakan, bahwa Standar Operasional Prosedur (SOP) tersebut mengedepankan konsep cleanest, health, safe and secure. Menurutnya, saat ini SOP tersebut telah memasuki tahap finalisasi. ""Saat ini sedang dilakukan finalisasi untuk SOP dan protokol (kesehatan),"" katanya kepada detikcom, Jumat (5/6/2020). 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   Setelah finalisasi, selanjutnya akan dilakukan berbagai tahapan menuju new normal. Seperti simulasi, kemudian evaluasi, finalisasi terakhir, sosialisasi dan uji coba pembukaan tempat wisata dengan menerapkan SOP dan protokol kesehatan. ""Kalau sekarang kita finalisasi, maka minggu depan kita sudah mulai secara internal dengan Kabupaten Kota dan pelaku untuk melakukan simulasi. Semua itu untuk memastikan SOP bisa dilaksanakan dan memastikan bahwa destinasi yang jadi tempat simulasi dan ujicoba sudah siap baik sarana prasarana dan SDM,"" ucapnya. Soal tempat wisata yang menjadi lokasi simulasi dan uji coba, Singgih menyebut ada beberapa tempat wisata, khususnya pantai. Tak banyak kawasan wisata yang akan melakukan simulasi tersebut. ""Kalau kemarin muncul, Gunungkidul itu menyampaikan Nglanggeran, Kali Suci, Pantai Baron dan Pantai Kukup. Jadi memang tidak banyak-banyak untuk simulasi ini,"" katanya. Terkait gambaran SOP, Singgih menyebut, salah satunya adalah pembatasan jumlah pengunjung di tempat wisata. Seperti halnya Gembira Loka Zoo Yogyakarta, kebun binatang yang memiliki kapasitas 500 orang ini nantinya hanya boleh menampung 50 persen dari kapasitas saja. Semua itu untuk menerapkan physical distancing.   Semua tempat wisata juga harus melakukan pengecekan suhu tubuh terhadap karyawan dan pengunjung, memperhatikan sanitasi hingga kebersihan kuliner yang dijual agar terjamin kehigienisannya. ""Selain itu tempat-tempat wisata harus mewajibkan penggunaan masker bagi karyawan dan pengunjung, menyediakan tempat cuci tangan dengan sabun dan handsanitizer serta menerapkan physical distancing,"" ujarnya. Singgih menambahkan, bahwa pihaknya optimis simulasi dan uji coba tersebut berjalan sesuai harapan. Mengingat sebelumnya Dinpar telah memberi stimulan berupa 250 tempat cuci tangan untuk berbagai destinasi wisata di DIY.  
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/travel-news/d-5042540/yogya-segera-gelar-simulasi-dan-uji-coba-sop-di-tempat-wisata
5;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Kementerian Pariwisata dan Ekonomi Kreatif tengah menyiapkan protokol tatanan kenormalan baru di sektor pariwisata dengan program Cleanliness, Health, and Safety (CHS) yang melibatkan industri. Untuk Pulau Bali, kawasan Nusa Dua direncanakan akan menjadi pilot project penerapan program CHS. Kawasan Nusa Dua dipilih karena lokasinya yang strategis dan merupakan area eksklusif sehingga dapat dengan mudah dilakukan pengawasan. Di Nusa Dua juga lengkap dengan fasilitas pendukung mulai dari akomodasi, amenitas, bahkan rumah sakit berskala internasional. Nusa Dua juga disebut dekat dengan Bandara Ngurah Rai Bali. 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   Deputi Bidang Pemasaran Kementerian Pariwisata dan Ekonomi Kreatif/Badan Pariwisata dan Ekonomi Kreatif (Kemenparekraf/Baparekraf) Nia Niscaya mengatakan, sejak awal pemerintah berkomitmen dan menyiapkan langkah-langkah mitigasi dampak COVID-19 terhadap sektor pariwisata dan ekonomi kreatif. ""Sebelum membuka destinasi kita perlu membangun rasa percaya diri agar memberikan rasa aman dan nyaman bagi wisatawan. Dan di sini langkah-langkahnya,"" kata Nia Niscaya di situs resmi Kemenparekraf, Jumat (5/6/2020). Dalam program tersebut Kemenparekraf/Baparekraf membagi dalam dua tahapan yaitu Gaining Confidence dan Appealing. Gaining Confidence dimulai dari penyiapan protokol CHS yang nantinya akan dikemas melalui video tutorial yang menarik dan buku panduan yang mudah dimengerti bagi pemangku kepentingan pariwisata seperti hotel, restoran, pusat perbelanjaan, destinasi wisata, dan lainnya. Kemudian dilanjutkan dengan tahapan training, simulasi, publikasi, dan kampanye serta aplikasi penerapan CHS. Sementara dalam tahapan Appealing, Kemenparekraf/Baparekraf akan menjalankan sejumlah program seperti Mega Famtrip dengan melibatkan key opinion leader (KOL), media serta travel agent and tour operator (TA/TO). Kemudian juga membuat joint promotion dengan membuat paket tur bersama airlines dan TA/TO. Kemudian juga menyiapkan penyelenggaraan kegiatan MICE dalam skala kecil. ""Namun kami tekankan bahwa pembukaan destinasi bergantung atas keputusan Gugus Tugas Penanganan COVID-19 dan pemerintah daerah. Karena setiap destinasi tentu memiliki situasi dan kondisi yang berbeda,"" kata Nia Niscaya. 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/travel-news/d-5042398/nusa-dua-bali-jadi-proyek-percontohan-new-normal-pariwisata
6;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Jakarta - Aplikasi Zoom tengah populer buat meeting online. Traveler pun sering mengganti background Zoomnya dengan destinasi populer dunia. Mana ya yang jadi favorit? Destinasi paling populer buat dijadikan background Zoom ternyata adalah Karibia. Banyak yang mencari gambar Karibia di Google, lalu dijadikan background Zoom saat meeting. (Shutterstock) Peringkat kedua diduduki bersamaan antara Maldives dan Australia. Banyak yang menjadikan pemandangan lautan biru dan pasir putih Maldives sebagai background Zoom mereka. (iStock) Di peringkat 3, diduduki secara bersamaan oleh Selandia Baru, Vietnam dan juga Swedia. Siapa yang tidak tergoda untuk menjadikan pemandangan indah Selandia Baru sebagai background saat meeting di Zoom? (dok. Tourism New Zealand) Selanjutnya, ada Filipina yang duduk di peringkat 4. Rupanya, banyak traveler yang menjadikan pemandangan alam di Filipina sebagai background Zoom. (iStock) Cantiknya alam Kanada juga sering dijadikan sebagai background Zoom oleh traveler. Bersama dengan Brasil, Kanada duduk di peringkat kelima. (Justin Tang/The Canadian Press via AP) Negeri Paman Sam ternyata sering juga dijadikan sebagai background Zoom. Kawasan Central Park hingga gedung-gedung pencakar langit yang khas jadi pilihan favorit traveler. (Dok. Macduff Everton via smithsonian.com) Lanskap alam Irlandia yang masih asri rupanya digemari oleh traveler buat dijadikan background Zoom. Irlandia juga jadi tempat syuting serial Game of Thrones. (CNN) India punya banyak destinasi eksotis yang sering dijadikan sebagai background buat meeting Zoom. Salah satunya, Taj Mahal yang sudah amat termasyhur ini. (Asri Vernon/d'Traveler) Negerinya Cristiano Ronaldo, Portugal juga sering dipilih jadi background Zoom saat traveler meeting. Kecantikannya akan membuat rekan meeting Anda bertanya-tanya, dimanakah destinasi cantik itu berada? (Getty Images/iStockphoto/Juergen Sack) Terakhir, ada Spanyol yang duduk di peringkat 10 sebagai destinasi yang paling sering dijadikan background Zoom. Spanyol dengan setiap sudutnya memang menarik buat dijadikan sebagai background foto. (Dadan Kuswaraharja/detikcom) 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/fototravel/d-5042300/foto-destinasi-favorit-traveler-buat-jadi-background-zoom
7;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Lion Air kembali menyetop penerbangannya lagi pada hari ini. Kegalauan maskapai swasta terbesar di Indonesia ini disorot media asing. Seperti diberitakan CNN, Jumat (5/6/2020), maskapai ini me-restart dan membatalkan lagi penerbangannya. Alasannya adalah karena penumpang belum bisa mengikuti protokol penerbangan di masa pandemi COVID-19. Dalam artikel berjudul 'Airline restarts flights, cancels them again when passengers can't follow Covid-19 regulations', Lion Air menghentikan sementara penerbangannya hanya berselang beberapa minggu buka. Semua anak perusahaan, seperti Batik Air dan Wings Air melakukan hal serupa. 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   Maskapai ini secara perlahan membuka kembali rute penerbangan jarak pendek pada 10 Mei. Namun rute penerbangan yang dipulihkan tidak bertahan lama. Perusahaan lalu mengumumkan penangguhan semua rutenya lagi pada 5 Juni karena masalah yang meluas. Utamanya adalah penumpang yang tidak mematuhi aturan protokol kesehatan yang berkaitan dengan jaga jarak dan tentang kesehatannya. ""Banyak calon penumpang tidak dapat melakukan perjalanan udara karena mereka tidak melengkapi dokumen dan persyaratan yang diperlukan selama pandemi Corona,"" CNN mengutip keterangan resmi perusahaan. Rute penerbangan internasional yang ditawarkan oleh maskapai ini juga telah dibatalkan. Dalam operasi di situasi normal, Lion Air melayani penerbangan ke Arab Saudi, China, Malaysia, dan Singapura. Maskapai yang berbasis di Jakarta ini telah mengambil langkah-langkah untuk memastikan keselamatan di atas pesawat, seperti menghilangkan kursi tengah, pesawat didisinfeksi. Lion Air juga mengganti filter HEPA pesawat saat ada penumpang diduga sakit. Dalam mengumumkan keputusan tersebut, Lion Air secara khusus menyebutkan keprihatinannya terhadap kesehatan para karyawannya. Awak kabin sangat berisiko tertular virus Corona dari para penumpang. ""Lion Air Group mendukung pemerintah terkait upaya pencegahan penyebaran COVID-19, melalui partisipasi aktif dalam menjalankan protokol kesehatan yang telah ditetapkan oleh Kementerian Perhubungan, Kementerian Kesehatan, dan Gugus Tugas BNPB,"" tulis perusahaan itu dalam sebuah pernyataan yang dirilis pada 3 Juni. Sejauh ini, belum ada kabar kapan penerbangan Lion Air akan dijadwalkan ulang. Lion Air menawarkan refund bagi penumpang yang sudah memesan tiket dan kini tak ada yang bisa melakukan pemesanan baru. Mengutip CNBC Indonesia, buka-tutup operasional maskapai terjadi beberapa waktu terakhir. Salah satu pemicunya, menurut pengamat penerbangan dari Arista Indonesia Aviation Center (AIAC), Arista Atmadjati, adalah aturan yang sering berubah-ubah.Alhasil, banyak penumpang yang telanjur membeli tiket pada akhirnya tidak bisa terbang karena tak memenuhi persyaratan bagi orang-orang keperluan khusus yang boleh terbang saat pandemi corona. Hal ini membuat maskapai kian tertekan. Apalagi, menurutnya kewajiban calon penumpang menunjukkan hasil tes PCR juga memberatkan. Di sejumlah lokasi, dia menyebut bahwa biaya tes PCR ada yang sampai Rp 2,5 juta untuk sekali tes. Tes PCR salah satu syarat yang harus dipenuhi penumpang sebelum menggunakan jasa angkutan udara. 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/travel-news/d-5042368/lion-air-galau-terbang-disorot-media-asing
8;;;Obyek wisata Pantai Pengandaran mulai dibuka kembali (5/6) seiring kebijakan new normal terkait virus corona COVID-19. Wisatawan yang datang pun harus menunjukkan hasil rapid test kepada petugas. Begini suasananya...;https://travel.detik.com/detiktv/d-5042699/pantai-pangandaran-dibuka-wisatawan-harus-tunjukkan-hasil-rapid-test
9;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Pemerintah Provinsi DKI Jakarta memutuskan untuk memperpanjang PSBB (Pembatasan Sosial Berskala Besar) dan melanjutkan ke masa transisi. Beberapa lokasi wisata pun akan di buka di masa ini. Apa saja? Menurut Gubernur DKI Jakarta Anies Baswedan, PSBB Jakarta diperpanjang hingga Juni ini. Kemudian, setelah itu aktivitas dapat berlangsung menuju new normal dan sehat. ""Saat ini statusnya tidak berubah, tetap PSBB. Tapi kita mulai melakukan transisi di bulan Juni. Menuju apa? Menuju aman, sehat, produktif,"" jelas dia dalam konferensi pers, Kamis (4/6/2020). 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   Adapun, tanggal pembukaan lokasi wisata di masa transisi telah ditetapkan, yakni: Mal: 15-21 JuniTaman rekreasi indoor/outdoor: 15-21 JuniKebun binatang: 15-21 JuniMuseum/galeri: 8-14 JuniPerpustakaan: 8-14 JuniTaman/RPTRA: 8-14 JuniPantai: 8-14 Juni  Lokasi wisata yang bisa dicoba saat PSBB Jakarta diperpanjang adalah Galeri Nasional (Galnas). Kamu bisa menikmati berbagai pertunjukan seni yang diadakan sana. Ancol merupakan salah satu lokasi wisata favorit masyarakat. Ada banyak permainan yang bisa dilakukan di sana, misalnya bermain air di pantai, hingga mencoba atraksi di arena permainan Dufan. Monumen Nasional atau Monas merupakan ikon dari kota Jakarta. Lokasinya berada di Medan Merdeka, Jakarta Pusat. Pengunjung yang datang bisa menikmati kota Jakarta dengan naik ke atas tugu Monas. Bangunan ini sendiri dibangun pada tahun 1961 atau pada masa pemerintahan Presiden Sukarno. Kemudian diresmikan pada 12 Juli 1975 atau masa presiden Soeharto. Lokasi wisata yang juga dikenal dengan nama Old Batavia ini terletak di Jakarta Utara. Tak hanya sekadar bangunan tua, di kompleks ini memiliki Museum Fatahilah, Museum Wayang, hingga Museum Bank Indonesia. Selain bisa mempelajari sejarah di museum, pengunjung Kota Tua juga bisa menikmati suasana dengan berkeliling kompleks dengan menyewa sepeda. Lokasi wisata terakhir yang bisa dinikmati saat PSBB Jakarta diperpanjang adalah Taman Margasatwa Ragunan. Lokasi ini terletak di Ragunan, Jakarta Selatan. Ada berbagai macam satwa yang bisa dilihat di tempat ini, seperti gajah, jerapah, hingga gorilla. Selain itu, lokasi ini memiliki suasana yang sejuk karena penuh dengan pepohonan. Jika kamu tertarik mengunjungi lokasi wisata di atas, kamu bisa mencari informasi jadwal pasti kapan tempat tersebut dibuka ya. Selamat mencoba! 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/travel-news/d-5042284/psbb-jakarta-diperpanjang-ini-daftar-lokasi-wisata-yang-dibuka
