Place_Id;News_No;News
1;0;Sejarah Monumen Nasional (Monas) KOMPAS.com - Monumen Nasional atau Monas adalah tugu yang dibangun dengan tujuan mengenang sejarah perjuangan di Jakarta. Monas terletak di pusat Kota Jakarta, yang saat ini dijadikan sebagai tempat wisata dan pusat pendidikan bagi para pengunjung dari Indonesia maupun wisatawan asing. Apabila menilik sejarahnya, Monas mulai dibangun pada  Agustus . Arsitek Monumen Nasional adalah Soedarsono, Frederich Silaban, dan Ir. Rooseno. Monas kemudian diresmikan dan dibuka untuk umum pada . Berikut ini sejarah Monas. Baca juga: Sejarah Pembangunan Monas Gagasan untuk mendirikan Monas sudah ada sejak . Beberapa hari setelah peringatan proklamasi kemerdekaan Indonesia ke-, dibentuk Panitia Tugu Nasional yang bertugas untuk mengupayakan berdirinya Tugu Monas. Panitia ini diketuai oleh Sarwoko Martokusumo, dengan dibantu oleh S Suhud sebagai penulis, Sumali Prawirosudirdjo sebagai bendahara, dan empat anggota lainnya, yaitu Supeno, KK Wiloto, EF Wenas, dan Sudiro. Panitia Tugu Nasional bertanggung jawab untuk mempersiapkan segala hal yang dibutuhkan guna membangun Tugu Monas sekaligus mengumpulkan biaya pembangunannya. Setelah itu, Presiden Soekarno membentuk panitia pembangunan Monas bernama Tim Yuri. Tim ini melakukan dua kali pertemuan, yaitu  pada Februari  dan  Mei, untuk merancang bentuk bangunan Tugu Monas. Sayangnya, setelah dua kali pertemuan, belum ada rancangan yang dianggap memenuhi kriteria yang diinginkan panitia. Baca juga: Tugu Proklamasi, Monumen Peringatan Kemerdekaan Indonesia Akhirnya, Soekarno menunjuk beberapa arsitek ternama, yaitu Soedarsono dan Frederich Silaban untuk menggambar rancangan Tugu Monas. Keduanya memutuskan untuk menggambar sendiri-sendiri dan kemudian hasil gambar yang dipilih Soekarno adalah milik Soedarsono. Bentuk tugu yang menjulang tinggi dengan pelataran cawan yang luas mendatar merupakan representasi dari lingga dan yoni. Dalam ajaran Hindu, penyatuan lingga dan yoni akan menghasilkan kekuatan tertinggi. Selain itu, lingga dan yoni melambangkan kekhasan Indonesia, di mana lingga menyerupai alu dan yoni menyerupai wadah yang berupa lumpang. Alu dan lumpang adalah dua alat yang dianggap penting dan dimiliki oleh setiap keluarga di Indonesia, khususnya rakyat pedesaan. Baca juga: Kenapa Ada Banyak Bangunan Berbentuk Kelamin? Dalam rancang bangun yang dibuat, Soedarsono mengambil beberapa unsur saat proklamasi kemerdekaan Indonesia dilaksanakan. Misalnya, di atas tugu terdapat bagian yang menyerupai api menyala dan seakan tidak kunjung padam. Hal ini melambangkan keteladanan semangat bangsa Indonesia yang tidak pernah surut berjuang sepanjang masa. Setelah rancangan disetujui, proses pembangunan Tugu Monas dilaksanakan melalui tiga tahapan. Tahapan pertama tahun -, tahap kedua antara - dan tahap ketiga pada -. Baca juga: Sejarah Tugu Muda Semarang Pada tahap pertama, proses pembangunan Monas diawasi langsung oleh Panitia Monumen Nasional dan biaya yang digunakan berasal dari sumbangan masyarakat. Pada tahapan kedua, proses pembangunan masih diawasi oleh panitia Monas, tetapi biaya bersumber dari Anggaran Pemerintah Pusat. Pada tahapan terakhir, pembangunan Monas diawasi oleh Panitia Pembina Tugu Nasional dengan sumber dana berasal dari Pemerintah Pusat atau Direktorat Jenderal Anggaran melalui Rencana Pembangunan Lima Tahun (Repelita). Monas secara perlahan mulai dibuka untuk umum pada  Maret, berdasarkan Surat Keputusan Gubernur DKI Jakarta Ali Sadikin Nomor CB ///. Saat itu, Gubernur Ali Sadikin membuka kawasan untuk rombongan atau organisasi atau siswa ke ruang tenang dan ruang museum. Pada, Gubernur Ali Sadikin mengizinkan pengunjung naik sampai ke pelataran puncak Monas. Baca juga: Sejarah Tugu Australia di Balikpapan Pada  Juni, Gubernur meresmikan taman di bagian barat Monas atau dikenal dengan nama Taman Ria. Monas akhirnya dibuka untuk umum setelah diresmikan oleh Presiden Soeharto pada  Juli  ketika pembangunannya berakhir. Total dana yang dikeluarkan untuk membangun Monas sejak  hingga  adalah sebesar Rp  miliar rupiah. Referensi: Tulis komentarmu dengan tagar #JernihBerkomentar dan menangkan e-voucher untuk  pemenang! Dapatkan informasi dan insight pilihan redaksi Kompas.com Periksa kembali dan lengkapi data dirimu. Data dirimu akan digunakan untuk verifikasi akun ketika kamu membutuhkan bantuan atau ketika ditemukan aktivitas tidak biasa pada akunmu. Segera lengkapi data dirimu untuk ikutan program #JernihBerkomentar.
1;1;"TEMPO.CO, Jakarta - Hari ini seluruh kawasan Monumen Nasional (Monas), Gambir, Jakarta Pusat, ditutup sementara untuk umum. Penutupan dilakukan untuk persiapan peringatan HUT RI ke-. Kepala Unit Pengelola Kawasan (UPK) Monas Muhammad Isa Sanuri mengatakan, penutupan sementara kawasan Monumen Nasional ini untuk kegiatan Kirab Bendera yang berlangsung di Istana Merdeka. Kawasan Monas akan dibuka kembali besok mulai pukul .-.. Namun wisata Tugu Monas baru beroperasi lagi pada Kamis,  Agustus, mulai pukul .. ""Kawasan dan Tugu Monas hari ini ditutup. Besok kawasan buka, namun tugunya masih tutup,"" kata Sanuri di Jakarta, Selasa,  Agustus . Besok pagi, kawasan Monas kembali dibuka untuk umum. ""Karena masyarakat umum diberikan kesempatan untuk melihat kirab bendera,"" ujarnya. Dalam acara kirab itu, masyarakat bisa menyaksikan arak-arakan Sang Saka Merah Putih dan Naskah Proklamasi dari Monas menuju Istana Merdeka. Selain kegiatan Kirab Bendera, Plaza Selatan Monas juga akan digunakan untuk upacara peringatan Hari Kemerdekaan RI yang digelar Pemprov DKI Jakarta. Upacara  Agustus yang akan diikuti ASN DKI itu dipimpin oleh Gubernur DKI Anies Baswedan. Untuk mempersiapkan kegiatan tersebut, Pemprov DKI telah melaksanakan kerja bakti di Monas pada Senin lalu. Kegiatan bersih-bersih itu dipimpin oleh Sekretaris Daerah (Sekda) DKI Jakarta Marullah Matali. Ribuan personel dari berbagai Organisasi Perangkat Daerah (OPD) Pemrov DKI dikerahkan dalam kerja bakti tersebut. Para personel berasal dari Dinas Bina Marga, Dinas Lingkungan Hidup, Dinas Sumber Daya Air, serta Dinas Taman dan Hutan Kota. Petugas dari Dinas Penanggulangan Kebakaran dan Keselamatan (Gulkarmat), Satpol PP dan petugas Penanganan Prasarana dan Sarana Umum (PPSU) juga dilibatkan. ""Kerja bakti kemarin untuk memastikan kawasan Monas, dapat tetap terjaga kebersihannya, bahkan saat perayaan Hari Kemerdekaan RI ke-,"" ujarnya. Baca juga: Hari Ini Kawasan Monas Ditutup Ada Kirab Bendera di Istana Negara Anies Baswedan mengatakan program pertukaran pelajar dan guru antara Jakarta-Tokyo akan dimulai lagi Ketua Bersama Urban, Anies Baswedan, mengatakan tiga rekomendasi tersebut seputar pendidikan, transisi energi, dan investasi di kesehatan Gubernur DKI Jakarta mengajak delegasi U Mayors Summit menikmati suasana kawasan Kota Tua Jakarta Gubernur DKI Jakarta Anies Baswedan membawa tiga isu penting dalam pertemuan Urban  (U) Mayors Summit  yang digelar di Jakarta. Anies Baswedan mengatakan investasi dari pihak swasta juga sangat penting dalam menghasilkan pembangunan yang inklusif, adil, dan berkelanjutan. Anies Baswedan menerapkan toleransi nol terhadap segala bentuk kekerasan terhadap perempuan, khususnya di lingkungan pemerintah provinsi. Anies Baswedan membahas tentang akar penyebab tantangan Jakarta dalam mengatasi permasalahan urban. Anies Baswedan mengubah orientasi dan investasi pembangunan di Ibu Kota pada pengurangan pemanfaatan kendaraan pribadi guna menekan kemacetan. Anies Baswedan berharap para pejabat bisa memberikan kesempatan kepada generasi baru untuk bermunculan. Enam terdakwa pengeroyokan Ade Armando dituntut hukuman kurungan dua tahun penjara."
1;2;"TRIBUNNEWS.COM, JAKARTA - Unit Pengelola Kawasan Monumen Nasional, Dinas Pariwisata dan Ekonomi Kreatif Provinsi DKI Jakarta mengirimkan surat penolakan penggunaan area Monas untuk gelaran reuni . Surat penolakan tersebut disampaikan melalui surat bernomor /-.. tanggal  November  yang ditujukan kepada Ketua Umum Dewan Tanfidzi Nasional Persaudaraan Alumni . Menurut Kepala Unit Pengelola Kawasan Monumen Nasional, Muhammad Isa Sarnuri, kawasan Monas telah ditutup sejak  Maret . Sehingga, segala jenis penyelenggaraan kegiatan di area tersebut belum diperbolehkan. Baca juga:  Tak Dapat Izin, Reuni PA  di Monas Resmi Ditunda “Bahwa sejak  Maret, monumen Nasional ditutup untuk umum dan tidak ada kegiatan publik apapun yang dilangsungkan di kawasan Monumen Nasional,” tulis Isa dalam Surat Jawaban untuk PA  dilansir dari siaran pers Pemprov DKI Jakarta. Isa melanjutkan penutupan Monas semata-mata didasarkan kepada kondisi pandemi yang masih melanda Jakarta. Sehingga, peniadaan kegiatan di Monas sebagai upaya Pemprov DKI untuk mencegah penularan Covid- di masyarakat. Baca juga:  Polri Pastikan Tak Akan Keluarkan Izin Keramaian untuk Acara Reuni  di Monas “Penutupan Monas dan peniadaan semua kegiatan publik apapun sebagai bagian dari usaha Pemprov DKI untuk mencegah penularan di masa wabah Covid-. Saat ini dan selama wabah itu ada di Jakarta maka Monas tetap ditutup untuk kegiatan publik apapun,” katanya. “Sesuai arahan Gubernur Jakarta masih dalam kondisi wabah dan guna mengendalikan penyebaran Covid-, sehingga kegiatan yang bersifat mengumpulkan massa dan membuat kerumunan dilarang,” ujarnya. Berdasarkan hal tersebut, maka surat izin yang diajukan PA  kepada UPT Monas ditolak atau tidak bisa dipenuhi. “Memperhatikan butir di atas, maka permohonan izin penggunaan Monas yang Bapak ajukan tidak bisa dipenuhi,” ujar Isa. Sebelumnya Markas Besar Kepolisian RI menegaskan tidak akan memberikan izin pelaksanaan kegiatan reuni Persatuan Alumni  tersebut. Karo Penmas Humas Polri Brigjen Awi Setiyono mengatakan keputusan itu telah sesuai dengan perintah Kapolri Jenderal Idham Azis yang melarang adanya kerumunan massa. ""Kami tidak mengizinkan, tidak mengeluarkan izin keramaian,"" kata Awi di Bareskrim Polri, Jakarta, Selasa (//). Baca juga:  Polri Tegaskan Tidak akan Keluarkan Izin Reuni, Jika Nekat Bakal Dibubarkan Lebih lanjut, Awi menyampaikan tidak hanya kegiatan tersebut yang dilarang oleh Polri. Ia menegaskan seluruh kegiatan yang dapat menimbulkan keramaian akan dilarang oleh aparat penegak hukum. Ia menyebutkan pihaknya juga tidak segan akan mrlakukan pembubaran apabila masih ada yang nekat melaksanakan kegiatan yang menimbulkan keramaian di tengah pandemi Covid-. ""Kalau masih ada pihak-pihak yang mengumpulkan orang, pimpinan sudah jelas mengatakan untuk segera membubarkan. Itu perintah pimpinan, sudah jelas,"" ujarnya. Reuni  ditunda Front Pembela Islam, Gerakan Nasional Pengawal Fatwa Ulama, dan Persaudaraan Alumni  (PA) memastikan agenda rutin tahunan, yakni Reuni  pada  Desember  ditunda pelaksaanaannya. Hal itu dipastikan dalam surat yang diterima Tribunnews.com. Surat tersebut ditandatangani oleh Ketua Umum PA  Slamet Ma'arif, Ketua Umum GNPF-Ulama Yusuf Martak, dan Ketua Umum FPU KH. Sobri Lubis. ""Pelaksanaan Reuni  ditunda untuk sementara dengan mengamati pelaksanaan Pilkada Serentak . Jika ada pembiaran kerumunan oleh pemerintah, maka Reuni  tahun  akan tetap digelar di waktu yang tepat,"" tulis surat tersebut dilihat Tribunnews.com, Selasa (//). Baca juga:  Polri Pastikan Tak Akan Keluarkan Izin Keramaian untuk Acara Reuni  di Monas Baca juga:  Sudah Lebih  Jam Anies Belum Selesai Diperiksa Polisi Terkait Keramaian Acara Rizieq Shihab Reuni Akbar  di Monas yang ditunda pelaksanaannya, diganti dengan alternatif acara lainnya. ""Pada tanggal  Desember, kami akan mengadakan Dialog Nasional dengan menghadirkan  tokoh dan ulama yang akan dihadiri oleh IB HRS sebagai narasumber dengan tetap memperhatikan protokol kesehatan,"" lanjut isi keterangan itu. Terakhir, pihak GNPF Ulama, FPI, dan PA  mengimbau agar para umat muslim khusunsnya mujahid dan mujahidah, berdoa bersama agar wabah Covid- diangkat dari Indonesia. ""Pelaksanaan Istighosah dilaksanakan di masjid-masjid, musala, pondok pesantren, majelis taklim, dengan wajib melaksanakan protokol kesehatan Covid-, yakni memakai masker, menjaga jarak, serta tidak dilaksanakan di ruang terbuka seperti lapangan,"" demikian bunyi isi keterangan itu."
2;0;MRT Jakarta Siapkan Pusat Informasi Publik di Kota Tua, Ini Fasilitasnya JAKARTA, KOMPAS.com - PT MRT Jakarta (Perseroda) menyiapkan pusat informasi publik (visitor center) di kawasan Kota Tua. Tepatnya di dalam Stasiun Kota/Stasiun Beos. Melansir dari laman PT MRT Jakarta pada Senin (//), ruangan ini akan menjadi pusat informasi perkembangan pembangunan fase  MRT Jakarta, khususnya untuk kawasan Kota Tua. Dilengkapi dengan maket rupa Stasiun MRT Kota yang nantinya setelah selesai dibangun, temuan-temuan arkeologi, serta layar televisi yang menayangkan berbagai informasi. Seperti video tentang MRT Jakarta, animasi, building information modeling (BIM) konstruksi fase, infografik tentang jaringan MRT Jakarta, area berfoto dengan latar terowongan MRT Jakarta, dan area bersantai untuk diskusi. Baca juga: Kawasan Kota Tua Kelar Direvitalisasi, Intip Fasilitas Barunya Visitor center ini menggunakan teknologi hololens dan proyektor interaktif dalam penayangan visual Stasiun Kota. Sebagai pelengkap, pengunjung dapat membeli tiket MRT Jakarta edisi khusus Kota Tua dan beberapa souvenir khas MRT Jakarta. Pusat informasi MRT Jakarta di Kota Tua yang didukung oleh konsultan Bentley software solutions and services dapat diakses dari area parkir barat sisi utara Stasiun Beos dan area peron stasiun. Rencananya, pusat ini informasi ini akan dibuka pada September  mendatang. Baca juga: Anies Hadirkan  Model Hunian Dekat Stasiun MRT, Sasarannya Kelas Menengah Jakarta Selain di kawasan Kota Tua, PT MRT Jakarta (Perseroda) juga telah membuat visitor center di kawasan Monas yang sudah dapat dikunjungi oleh publik. Di sini, pengunjung dapat melihat maket rupa Stasiun Monas, sejumlah temuan arkeologi di area pembangunan sekitar Monas dan Thamrin, infografik lini masa sejarah MRT Jakarta, serta tayangan video tentang MRT Jakarta. Tulis komentarmu dengan tagar #JernihBerkomentar dan menangkan e-voucher untuk  pemenang! Dapatkan informasi dan insight pilihan redaksi Kompas.com Periksa kembali dan lengkapi data dirimu. Data dirimu akan digunakan untuk verifikasi akun ketika kamu membutuhkan bantuan atau ketika ditemukan aktivitas tidak biasa pada akunmu. Segera lengkapi data dirimu untuk ikutan program #JernihBerkomentar.
2;1;Menilik Potensi Wisata Bersejarah Kota Tua JAKARTA, KOMPAS.com – Wisata bersejarah masih menjadi salah satu tujuan favorit bagi pelancong domestik maupun mancanegara. Terlebih, Indonesia memiliki banyak peninggalan historis dengan ragam budaya melimpah, seperti halnya kota tua, kota lama dan sejenisnya. Kota tua atau kota lama di Indonesia memperlihatkan bukti masa kejayaan perdagangan tanah air di lingkup Asia pada abad  dan . Sebut saja Kota Tua Jakarta dengan bangunan peninggalan zaman kolonial yang saat ini banyak dimanfaatkan sebagai tempat wisata. Terkait hal ini, Direktur Utama PT Kenari Djaja Hendra B. Sjarifudin mengatakan Kota Tua Jakarta banyak dimanfaatkan sebagai museum yang menyimpan segudang informasi berharga tentang sejarah kota. Baca juga: Potensi Cuan dari Pengelolaan Aset Negara di Dekat Kota Tua “Karena cakupannya yang luas, kawasan Kota Tua Jakarta ini memiliki beberapa objek wisata yang sangat menarik,” ujarnya dalam Seminar bertajuk Kota Tua-Pusaka Nusantara, Kamis (//). Ketua Jurusan Arsitektur Universitas Trisakti Etty R Kridarso memprediksi, peninggalan Kota Tua Jakarta akan menjadi pariwisata daerah andalan yang mampu mendatangkan banyak kegiatan dan turis ke Indonesia. Di sisi lain, Jakarta yang pernah menjadi pusat Pemerintahan Kolonial Hindia Belanda juga banyak meninggalkan sisa kota lama dan aktivitas bersejarah yang bisa dinikmati masyarakat. Seperti yang diteliti oleh Arsitek Ririk Winandari soal peninggalan arsitektur Kastil Batavia di Jakarta Utara yang memiliki cerita cukup berpengaruh terhadap lingkungan Kota Tua Jakarta dan sekitarnya. Tak hanya Kota Tua Jakarta, Indonesia juga punya Kota Lama di Padang, Sumatera Barat yang menyimpan sejarah Adat Minang. Baca juga: Revitalisasi Kota Tua Surabaya Harus Dilakukan Lebih Matang Arsitek Jonni Wongso memaparkan, kawasan yang juga disebut sebagai Padang Lama ini sangat potensial bagi perkembangan arsitektur daerah. Kawasan Padang Lama bernilai budaya kental dan menjadi salah satu produk wisata menarik karena melibatkan kehidupan masyarakat sekitar. Selain itu, ada juga Kota Tua di Kupang, Nusa Tenggara Timur (NTT) yang menyimpan sisa-sisa peninggalan Portugis. Arsitek Don Ara Kian menekankan bahwa Kota Tua Kupang ini memiliki potensi besar terkait peninggalan sejarah yang hampir punah. “Harapannya Kota Tua di NTT ini menjadi destinasi wisata di Indonesia Timur yang terus dikembangkan untuk mendatangkan wisatawan,” katanya pada kesempatan yang sama. Tulis komentarmu dengan tagar #JernihBerkomentar dan menangkan e-voucher untuk  pemenang! Dapatkan informasi dan insight pilihan redaksi Kompas.com Periksa kembali dan lengkapi data dirimu. Data dirimu akan digunakan untuk verifikasi akun ketika kamu membutuhkan bantuan atau ketika ditemukan aktivitas tidak biasa pada akunmu. Segera lengkapi data dirimu untuk ikutan program #JernihBerkomentar.
2;2;Hampir Rampung, Ini Kabar Terbaru Revitalisasi Jalur Pedestrian Kota Tua JAKARTA, KOMPAS.com - Pemerintah Provinsi (Pemprov) DKI Jakarta tengah melakukan penataan kawasan Kota Tua, Jakarta Barat. Penataan tersebut mencakup revitalisasi jalur pedestrian untuk membuat kawasan jadi lebih ramah pejalan kaki. Melansir unggahan akun Twitter Pemprov DKI Jakarta @DKIJakarta, Selasa (//), saat ini progres revitalisasi pedestrian telah mencapai  persen. Baca juga: Diterapkan di Stasiun Tanjung Priok hingga Kota Tua, Ini Sejarah Arsitektur Art Deco Nusantara Revitalisasi jalur pedestrian ini ditargetkan bisa rampung pada akhir bulan Agustus  mendatang. Nantinya, trotoar akan dilengkapi dengan fasilitas street furniture, pohon teduh, taman dan air mancur. Demi mewujudkan kawasan yang ramah difabel, juga akan tersedia guiding block untuk mempermudah penyandang tuna netra bermobilitas. Adapun rencananya, Kota Tua akan disulap menjadi low emission zone atau kawasan rendah emisi. Sementara itu, Direktur Utama PT Kenari Djaja Hendra B Sjarifudin mengatakan Kota Tua Jakarta banyak dimanfaatkan sebagai museum yang menyimpan segudang informasi berharga tentang sejarah kota. “Karena cakupannya yang luas, kawasan Kota Tua Jakarta ini memiliki beberapa objek wisata yang sangat menarik,” ujarnya dalam Seminar bertajuk Kota Tua-Pusaka Nusantara, Kamis (//). Baca juga: Menilik Potensi Wisata Bersejarah Kota Tua Ketua Jurusan Arsitektur Universitas Trisakti Etty R Kridarso memprediksi, peninggalan Kota Tua Jakarta akan menjadi pariwisata daerah andalan yang mampu mendatangkan banyak kegiatan dan turis ke Indonesia. Di sisi lain, Jakarta yang pernah menjadi pusat Pemerintahan Kolonial Hindia Belanda juga banyak meninggalkan sisa kota lama dan aktivitas bersejarah. Seperti hasil penelitian Arsitek Ririk Winandari soal peninggalan arsitektur Kastil Batavia di Jakarta Utara yang memiliki cerita cukup berpengaruh terhadap lingkungan Kota Tua Jakarta dan sekitarnya. Tulis komentarmu dengan tagar #JernihBerkomentar dan menangkan e-voucher untuk  pemenang! Dapatkan informasi dan insight pilihan redaksi Kompas.com Periksa kembali dan lengkapi data dirimu. Data dirimu akan digunakan untuk verifikasi akun ketika kamu membutuhkan bantuan atau ketika ditemukan aktivitas tidak biasa pada akunmu. Segera lengkapi data dirimu untuk ikutan program #JernihBerkomentar.
3;0;"Lirik dan Chord Kenyataan Dalam Dunia Fantasi dari Koil feat The Rock JAKARTA, KOMPAS.com - Menjadi singel hit, lagu ""Kenyataan Dalam Dunia Fantasi"" dinyanyikan oleh grup musik rock asal Bandung, Koil. Dalam lagu tersebut Koil berkolaborasi dengan The Rock atau lebih dikenal T.R.I.A.D, grup musik yang menjadi proyek sampingan dari Dewa . Koil merupakan grup musik yang memiliki ciri khas tersendiri yang dapat terlihat dari lirik-lirik lagu yang mereka buat, salah satunya dalam lagu ""Kenyataan Dalam Dunia Fantasi"" yang mengangkat cerita tentang sebuah kebohongan yang sering diparadigmakan benar. Baca juga: Lirik dan Chord Lagu Air Mata - Dewa  Berikut lirik dan chord lagu ""Kenyataan Dalam Dunia Fantasi"" dari Koil feat The Rock: Intro (x) A A G A Bb A G AA G A Bb A C DA G A Bb A G AF G# A Am                                F     Dm AmDi negara ini kita hidup dan bekerjaF      DmDi negara ini kita makan dan berbahagiaAm                                         F       DmDi tanah yang indah ini bersemilah cintamu yang abadiAm                                     F    DmDi negara busuk ini kita tersenyum pedih Interlude: Am Bb F Dm x A                                        FKita membicarakan kenyataanDDalam dunia yang tak kumengertiA                                        FKita membicarakan kepasrahanDDalam spektrum yang hitam dan putih A                                        FKita merasa benar-benar pintarDMemasyarakatkan kebodohan iniA                                        FKita membicarakan kenyataanDDalam dunia fantasi Interlude: Am F Dm xA F D AAku tak butuh pengertianmuAku bukan bagian dari sejarah yang kau tulisF                       DKau bingkiskan untuk anak dan cucumu AAku tak butuh penjelasanmuAku bukan bagian dari kebanggaanF          DYang membuat kita tak berpenghasilan Am                 F                  DmNasionalisme adalah tempat tinggal yang kita belaAm                 F                        DmNasionalisme untuk negara ini adalah pertanyaanAm                 F                        DmNasionalisme untuk negara ini menuju kehancuranAm                 F                                   DmNasionalisme menuntun bangsa kami menuju kehancuran A G A Bb A G AN a s    i o n  a l     i s  m e x F                   G#                       AUntuk negara ini adalah pertanyaan A G A Bb A G  AN a s    i o n a   l     i s m e x F                             Bb                         AMenuntun bangsa kami menuju kehancuran Tulis komentarmu dengan tagar #JernihBerkomentar dan menangkan e-voucher untuk  pemenang! Dapatkan informasi dan insight pilihan redaksi Kompas.com Periksa kembali dan lengkapi data dirimu. Data dirimu akan digunakan untuk verifikasi akun ketika kamu membutuhkan bantuan atau ketika ditemukan aktivitas tidak biasa pada akunmu. Segera lengkapi data dirimu untuk ikutan program #JernihBerkomentar."
3;1;"Taman Impian Jaya Ancol akan menggelar acara ""Dufan at Night"" di taman hiburan Dunia Fantasi pada - Desember, dengan menampilkan parade elektrik permainan lampu berwarna-warni. Direktur Utama PT Taman Impian Jaya Ancol, Budi Aryanto, dalam siaran pers yang diterima di Jakarta, Sabtu (/), menyebutkan, ""Dufan at Night"" berlangsung pada pukul . WIB hingga pukul . WIB. Para pengunjung disediakan yang populer seperti Istana Boneka, Arung Jeram, Bianglala, Baling-Baling, Tornado, serta Kereta Misteri, di malam hari. 
ADVERTISEMENT 
SCROLL TO RESUME CONTENT ""Ada  wahana yang dapat dinikmati di ""Dufan at Night"" itu, tapi tetap dengan menerapkan protokol kesehatan,"" katanya, seperti yang dikutip dari ANTARA. Menurut Budi, selain  wahana populer, pengelola juga menampilkan pertunjukan menarik. Masyarakat yang ingin berkunjung pada ""Dufan at Night"", kata dia, agar memesan tiket secara online melalui situs www.ancol.com. Pemesanan tiket pada - November Rp ribu, sedangkan pada  November hingga  Desember Rp ribu. Vudi menjelaskan, tiket hanya berlaku pada tanggal kunjungan yang dipilih, dan jam operasional pukul .-. WIB Pintu Gerbang Ancol dan Dufan tutup pada pukul . WIB, setelah itu tiket yang berlaku hanya tiket ""Dufan at Night"". [Gambas:Instagram] 
ADVERTISEMENT"
3;2;"ADVERTISEMENT 
SCROLL TO RESUME CONTENT 
ADVERTISEMENT"
4;0;Cara Membeli Tiket Online Taman Mini Indonesia Indah (TMII) dan Ancol KOMPAS.com - Cara membeli tiket masuk ke TMII dan Ancol kini bisa dilakukan secara online dengan mudah. Taman Mini Indonesia Indah (TMII) merupakan suatu kawasan taman wisata bertema budaya Indonesia di Jakarta Timur yang memiliki area seluas kurang lebih  hektare. Sementara Taman Impian Jaya Ancol adalah obyek wisata yang dibuka sejak tahun  dan saat ini merupakan kawasan wisata terpadu yang terbesar di Asia Tenggara. Ada  wahana fantasi di Dunia Fantasi, delapan kolam di Atlantis Water Adventure, dan delapan pertunjukan di Ocean Dreams Samudera. Baca juga: Cara Pesan Tiket Online Kebun Binatang Ragunan, Berikut Link Daftarnya Berikut cara membeli tiket TMII dan Ancol, serta link pemesanan dan pendaftarannya. Dikutip dari Kompas.com, (//), tiket masuk TMII bisa Anda dapatkan secara online melalui situs www.tamanmini.com. Ini caranya: Baca juga: Syarat Masuk ke TMII  Selain itu, pengunjung juga perlu memperhatikan berapa biaya tiket masuk dan jam operasional TMII. Diketahui, TMII dibuka pada pukul . sampai . WIB untuk hari Senin sampai Minggu dengan harga tiket masuk Rp .. Bagi pengunjung yang membawa kendaraan perlu membayar Rp . untuk mobil, Rp . untuk bus atau truk, Rp . untuk motor, dan Rp . untuk sepeda. Biaya ini berlaku perorangan bagi pengunjung berusia di atas  tahun. Baca juga: Diambil Alih Negara, Berikut  Fakta soal TMII Dikutip dari laman resmi Ancol, pengunjung juga dapat membeli tiket Ancol secara online. Anda juga bisa membeli tiket Dufan, Sea World, dan Samudera di situs ancol.com. Berikut tata cara pembeliannya: Baca juga: Pengelola Wajibkan Anak di Atas  Tahun Divaksinasi Covid- Dosis Pertama untuk Masuk ke Ancol Lantaran Ancol memiliki banyak wahana, jam operasional ini disesuaikan dengan masing-masing wahana yang akan Anda kunjungi. Pintu Gerbang Timur (mobil, motor, sepeda, pejalan kaki): Setiap hari . - . WIB. Pintu Gerbang Barat: Pintu Gerbang Busway: Kawasan pantai: Setiap hari . - . WIB. Jam operasional Dunia Fantasi setiap hari pukul . - . WIB. Pintu gerbang masuk Dufan ditutup pukul . WIB. Jam operasional Sea World: Jam operasional Ocean Dream Samudra: Jam Operasional Atlantis Water AdventuresBuka pada Sabtu, Minggu & Libur Nasional pukul . - . WIB. Untuk harga tiket, Anda bisa mengeceknya di situs Ancol.com, dan sesuaikan dengan wahana dan banyaknya orang yang akan berwisata bersama Anda. Sebab, Ancol mengadakan banyak promo menarik jika Anda membeli tiket rombongan. Nah itulah cara beli tiket masuk obyek wisata TMII dan Ancol secara online. Tulis komentarmu dengan tagar #JernihBerkomentar dan menangkan e-voucher untuk  pemenang! Dapatkan informasi dan insight pilihan redaksi Kompas.com Periksa kembali dan lengkapi data dirimu. Data dirimu akan digunakan untuk verifikasi akun ketika kamu membutuhkan bantuan atau ketika ditemukan aktivitas tidak biasa pada akunmu. Segera lengkapi data dirimu untuk ikutan program #JernihBerkomentar.
