Place_Id;News_No;News
1;0;"Saturday,  Safar  /  September  Saturday,  Safar  /  September  Dalam rangka mewujudkan ketahanan pangan nasional, pemerintah terus berupaya melakukan terobosan melalui pengembangan kawasan food estate hortikultura berbasis korporasi. Saat ini lokasi pengembangan dilakukan di Kabupaten Humbang Hasundutan, Provinsi Sumatera Utara.  REPUBLIKA.CO.ID, JAKARTA--Komisi IV DPR, mengingatkan pemerintah agar proyek food estate tidak kembali gagal seperti proyek lain di masa lalu. DPR meminta agar setiap langkah dalam proyek food estate didasari kajian yang komprehensif serta dengan data teknis yang tepat. 
Ketua Komisi IV DPR, Sudin, mengatakan, luasan yang akan dikembangkan serta kebutuhan tenaga kerja wajib dihitung secara cermat. Keterlibatan masyarakat lokal juga perlu dipikirkan agar tidak merugikan warga setempat. ""Food estate tidak salah namun seyogyanya implementasi dimulai dengan kajian yang cermat. Saya tidak mau ini jadi proyek monumen nasional,"" kata Sudin dalam Rapat Dengar Pendapat (RDP) bersama Kementerian Pertanian, Selasa (/). 
Pihaknya juga mempertanyakan kesiapan anggaran pemerintah. Setiap dana yang digunakan harus digunakan dengan berdasarkan perencanaan yang matang agar tidak efektivitas dapat dirasakan. Ia pun menekankan, besaran anggaran yang dikeluarkan harus sebanding dengan hasil program. 
Menurut dia, perencanaan Kementan dalam tahun anggaran  belum menunjukkan kesesuaian antara program dan hasil yang akan diperoleh. ""Komisi IV harus melakukan evaluasi kebijakan pangan,"" kata Sudin. 
Direktur Jenderal Prasarana dan Sarana Pertanian, Sarwo Edhy, mengatakan, proses pengolahan tanah dari  ribu hektare (ha) sudah mencapai hampir  ribu hektare. Semula pengolahan tanah ditargetkan selesai akhir November dengan peralatan yang ada saat ini. 
Namun, melihat banyaknya kendala di lapangan, penyelesaikan olah tanah diperkirakan selesai pada pekan kedua Desember . Adapun untuk pertanaman, ia mengakui memang masih kecil yakni baru mencapai . hektare. Penanaman itu dilakukan baik secara manual maupun dengan teknologi drone. Dapatkan Update Berita Republika Komnas HAM dan Komnas Perempuan Duga Kuat Putri Alami Kekerasan Seksual, Apa Buktinya? Kronologi Dugaan Perkosaan Terhadap Putri Candrawathi Menurut Komnas Perempuan Kompol CP, Perwira Polisi Pertama yang Dipecat di Obstruction of Justice Kasus Brigadir J Kesimpulan Komnas HAM di Kasus Sambo Dinilai Bisa Jadi 'Bom Waktu' Politik Puan Maharani masih menjawab tidak tegas terkait pencapresannya di  Kampus Pendaftaran Staf Pengembangan Seleksi Mahasiswa Baru Universitas Pertamina dibuka sampai  Sptember . Liga Inggris Tuchel dan Aubameyang pernah bekerjasama di Borussia Dortmund. Pemerintah resmi menaikkan harga BBM pada hari ini, Sabtu (//). Ruzka Penyanyi Andmesh Kamaleng menyanyikan lagj 'Andaikan Kau Datang', untuk soundtrack film Miracle In Cell  yang dirilis  Agustus lalu. Berikut lirik lagu Andaikan Kau Datang dari Andmesh Kamaleng.  PHOTO  PHOTO  PHOTO  PHOTO  PHOTO Copyright ©  republika.co.id, All right reserved"
1;1;Saturday,  Safar  /  September  Saturday,  Safar  /  September  Petugas Pemadam Kebakaran menyemprotkan cairan disinfektan di kawasan Monumen Nasional (Monas), Jakarta, Rabu (//). Penyemprotan cairan disinfektan untuk mencegah penyebaran COVID- di kawasan Monas yang akan dibuka kembali pada  Juni  REPUBLIKA.CO.ID, JAKARTA -- Petugas Pemadam Kebakaran menyemprotkan cairan disinfektan di kawasan Monumen Nasional (Monas), Jakarta, Rabu (/). Penyemprotan cairan disinfektan untuk mencegah penyebaran COVID- di kawasan Monas yang akan dibuka kembali pada  Juni . Dapatkan Update Berita Republika Politik Puan Maharani masih menjawab tidak tegas terkait pencapresannya di  Kampus Pendaftaran Staf Pengembangan Seleksi Mahasiswa Baru Universitas Pertamina dibuka sampai  Sptember . Liga Inggris Tuchel dan Aubameyang pernah bekerjasama di Borussia Dortmund. Pemerintah resmi menaikkan harga BBM pada hari ini, Sabtu (//). Ruzka Penyanyi Andmesh Kamaleng menyanyikan lagj 'Andaikan Kau Datang', untuk soundtrack film Miracle In Cell  yang dirilis  Agustus lalu. Berikut lirik lagu Andaikan Kau Datang dari Andmesh Kamaleng. Copyright ©  republika.co.id, All right reserved
1;2;"TRIBUNNEWS.COM, JAKARTA - Unit Pengelola Kawasan Monumen Nasional, Dinas Pariwisata dan Ekonomi Kreatif Provinsi DKI Jakarta mengirimkan surat penolakan penggunaan area Monas untuk gelaran reuni . Surat penolakan tersebut disampaikan melalui surat bernomor /-.. tanggal  November  yang ditujukan kepada Ketua Umum Dewan Tanfidzi Nasional Persaudaraan Alumni . Menurut Kepala Unit Pengelola Kawasan Monumen Nasional, Muhammad Isa Sarnuri, kawasan Monas telah ditutup sejak  Maret . Sehingga, segala jenis penyelenggaraan kegiatan di area tersebut belum diperbolehkan. “Bahwa sejak  Maret, monumen Nasional ditutup untuk umum dan tidak ada kegiatan publik apapun yang dilangsungkan di kawasan Monumen Nasional,” tulis Isa dalam Surat Jawaban untuk PA  dilansir dari siaran pers Pemprov DKI Jakarta. Isa melanjutkan penutupan Monas semata-mata didasarkan kepada kondisi pandemi yang masih melanda Jakarta. Sehingga, peniadaan kegiatan di Monas sebagai upaya Pemprov DKI untuk mencegah penularan Covid- di masyarakat. “Penutupan Monas dan peniadaan semua kegiatan publik apapun sebagai bagian dari usaha Pemprov DKI untuk mencegah penularan di masa wabah Covid-. Saat ini dan selama wabah itu ada di Jakarta maka Monas tetap ditutup untuk kegiatan publik apapun,” katanya. “Sesuai arahan Gubernur Jakarta masih dalam kondisi wabah dan guna mengendalikan penyebaran Covid-, sehingga kegiatan yang bersifat mengumpulkan massa dan membuat kerumunan dilarang,” ujarnya. Berdasarkan hal tersebut, maka surat izin yang diajukan PA  kepada UPT Monas ditolak atau tidak bisa dipenuhi. “Memperhatikan butir di atas, maka permohonan izin penggunaan Monas yang Bapak ajukan tidak bisa dipenuhi,” ujar Isa. Sebelumnya Markas Besar Kepolisian RI menegaskan tidak akan memberikan izin pelaksanaan kegiatan reuni Persatuan Alumni  tersebut. Karo Penmas Humas Polri Brigjen Awi Setiyono mengatakan keputusan itu telah sesuai dengan perintah Kapolri Jenderal Idham Azis yang melarang adanya kerumunan massa. ""Kami tidak mengizinkan, tidak mengeluarkan izin keramaian,"" kata Awi di Bareskrim Polri, Jakarta, Selasa (//). Lebih lanjut, Awi menyampaikan tidak hanya kegiatan tersebut yang dilarang oleh Polri. Ia menegaskan seluruh kegiatan yang dapat menimbulkan keramaian akan dilarang oleh aparat penegak hukum. Ia menyebutkan pihaknya juga tidak segan akan mrlakukan pembubaran apabila masih ada yang nekat melaksanakan kegiatan yang menimbulkan keramaian di tengah pandemi Covid-. ""Kalau masih ada pihak-pihak yang mengumpulkan orang, pimpinan sudah jelas mengatakan untuk segera membubarkan. Itu perintah pimpinan, sudah jelas,"" ujarnya. Reuni  ditunda Front Pembela Islam, Gerakan Nasional Pengawal Fatwa Ulama, dan Persaudaraan Alumni  (PA) memastikan agenda rutin tahunan, yakni Reuni  pada  Desember  ditunda pelaksaanaannya. Hal itu dipastikan dalam surat yang diterima Tribunnews.com. Surat tersebut ditandatangani oleh Ketua Umum PA  Slamet Ma'arif, Ketua Umum GNPF-Ulama Yusuf Martak, dan Ketua Umum FPU KH. Sobri Lubis. ""Pelaksanaan Reuni  ditunda untuk sementara dengan mengamati pelaksanaan Pilkada Serentak . Jika ada pembiaran kerumunan oleh pemerintah, maka Reuni  tahun  akan tetap digelar di waktu yang tepat,"" tulis surat tersebut dilihat Tribunnews.com, Selasa (//). Reuni Akbar  di Monas yang ditunda pelaksanaannya, diganti dengan alternatif acara lainnya. ""Pada tanggal  Desember, kami akan mengadakan Dialog Nasional dengan menghadirkan  tokoh dan ulama yang akan dihadiri oleh IB HRS sebagai narasumber dengan tetap memperhatikan protokol kesehatan,"" lanjut isi keterangan itu. Terakhir, pihak GNPF Ulama, FPI, dan PA  mengimbau agar para umat muslim khusunsnya mujahid dan mujahidah, berdoa bersama agar wabah Covid- diangkat dari Indonesia. ""Pelaksanaan Istighosah dilaksanakan di masjid-masjid, musala, pondok pesantren, majelis taklim, dengan wajib melaksanakan protokol kesehatan Covid-, yakni memakai masker, menjaga jarak, serta tidak dilaksanakan di ruang terbuka seperti lapangan,"" demikian bunyi isi keterangan itu."
2;0;"Saturday,  Safar  /  September  Saturday,  Safar  /  September  Pengunjung berswafoto area Museum Fatahillah kawasan Kota Tua, Jakarta, Kamis (//). Dinas Bina Marga DKI Jakarta terus mengejar target penyelesaian revitalisasi trotoar di kawasan Kota Tua, Jakarta Barat yang diharapkan selesai pada Juli ini.  REPUBLIKA.CO.ID, JAKARTA--Dinas Bina Marga DKI Jakarta terus mengejar target penyelesaian revitalisasi trotoar di kawasan Kota Tua, Jakarta Barat yang diharapkan selesai pada Juli ini. 
 ""Kemarin kan ada permintaan dari pimpinan itu diselesaikan di bulan Mei cuman kalau di bulan Mei ternyata tidak bisa paling lama kita kita selesaikan di bulan Juli,"" kata Sub Koordinator Urusan Pembangunan dan Peningkatan Kelengkapan Jalan Dinas Bina Marga Jakarta, Sigit Widodo, saat dihubungi di Jakarta, Rabu (//). 
 Maka dari itu, Sigit bersama beberapa pemangku kepentingan (stakeholders) pada Mei ini masih melakukan pengerjaan revitalisasi trotoar sepanjang kawasan Kota Tua. Tercatat ada beberapa ruas jalan yang kini tengah direvitalisasi oleh Bina Marga di antaranya yakni Jalan Ketumbar, Jalan Kemukus, dan Jalan Lada Dalam. 
 Trotoar tersebut nantinya akan diperlebar menjadi tiga meter sehingga cukup luas untuk para pejalan kaki. Tidak hanya itu, trotoar juga akan dilengkapi dengan ubin pengarah (guidingblock) serta jalur khusus sepeda. 
 ""Sejauh ini pengerjaan sudah  persen,"" kata Sigit. 
 Sigit mengaku ada beberapa faktor yang menjadi penghambat proses pengerjaan. Salah satunya yakni lalu lintas yang tetap dibuka saat pengerjaan berlangsung. Akibatnya, mobilitas pekerja sulit dalam bekerja. Tidak hanya itu, ada beberapa utilitas pemilik lahan yang harus dikerjakan sebelum revitalisasi berlangsung. 
 ""Misalnya di jalan Lada Dalam kita bekerja sama dengan PT KAI karena di lahan dia ada utilitasnya. Jadi kita koordinasi agar utilitas punya KAI kita relokasi,"" ujarnya. 
 Walau demikian, Sigit tetap optimis dapat menyelesaikan pengerjaan revitalisasi kawasan Kota Tua tepat waktu. Dapatkan Update Berita Republika Indonesia Perlu Strategi Intervensi untuk Turunkan Pravalensi Perokok Fakta Unik Hidung yang Jarang Diketahui Manusia Apa Itu Peradangan Kronis? Kenali Tujuh Tandanya Suplemen Kalsium dan Vitamin D Bisa Tingkatkan Risiko Polip Prakanker Dapat Turunkan Gula Darah Hingga  Persen, Ini Minuman Terbaik Bagi Pengidap Diabetes Politik Puan Maharani masih menjawab tidak tegas terkait pencapresannya di  Kampus Pendaftaran Staf Pengembangan Seleksi Mahasiswa Baru Universitas Pertamina dibuka sampai  Sptember . Liga Inggris Tuchel dan Aubameyang pernah bekerjasama di Borussia Dortmund. Pemerintah resmi menaikkan harga BBM pada hari ini, Sabtu (//). Ruzka Penyanyi Andmesh Kamaleng menyanyikan lagj 'Andaikan Kau Datang', untuk soundtrack film Miracle In Cell  yang dirilis  Agustus lalu. Berikut lirik lagu Andaikan Kau Datang dari Andmesh Kamaleng.  PHOTO  PHOTO  PHOTO  PHOTO  PHOTO Copyright ©  republika.co.id, All right reserved"
2;1;"Saturday,  Safar  /  September  Saturday,  Safar  /  September  Sebanyak  PKL di Kota Tua dipindahkan ke dua lokasi.  REPUBLIKA.CO.ID, JAKARTA--Pemerintah Kota Jakarta Barat (Pemkot Jakbar) berencana memindahkan  pedagang kaki lima (PKL) kawasan wisata Kota Tua ke lokasi binaan (lokbin) agar tidak berdagang di pinggir jalan sehingga berpotensi mengganggu ketertiban. ""Tercatat ada  PKL berdasarkan data kecamatan. Nah, mereka ini yang sedang kita arahkan untuk pindah ke dua lokasi,"" kata Asisten Ekonomi Pembangunan Kota Jakarta Barat, Imron, saat ditemui di di Jakarta Barat, Senin (//). 
Imron menjelaskan, upaya pemindahan tersebut adar para PKL tidak berdagang di pinggir jalan sehingga kawasan tersebut pun terlibat tertib dan tertata. Relokasi pedagang ini juga bagian dari revitalisasi Kota Tua yang saat ini sedang dikerjakan Pemprov DKI Jakarta. Lebih lanjut, dua lokasi calon tempat PKL tersebut berada di lokbin tepat di belakang Batavia Cafe dan di area gedung Cipta Niaga. Untuk lokbin belakang Batavia Cafe sendiri bisa menampung  pedagang. 
""Sedangkan yang di kawasan Cipta Niaga bisa menampung  PKL dan bisa bertambah lagi,"" jelas Imron. 
Menurut Imron, banyak keuntungan yang bisa didapati pedagang jika pindah ke lokasi yang telah disediakan. Selain tempat yang bersih dan aman, para pedagang juga bisa dibina dan mendapatkan izin usaha. 
Sejauh ini, baru  pedagang yang telah mendaftar untuk menempati lokasi tersebut. Imron pun memaklumi belum terlalu banyak pedagang yang tertarik dengan tawaran tersebut. 
""Mereka masih takut tidak laku karena lokasi yang baru, kita pahami. Tapi kita tetap lakukan sosialisasi,"" kata Imron. 
Imron menambahkan, bagi PKL yang tertarik bisa mendatangi petugas Suku Dinas Perindustrian, Perdagangan Usaha Mikro Kecil Menengah (PPKUMKM) Jakarta Barat di kantor Kecamatan Taman Sari. Para pedagang juga bisa mendaftarkan diri langsung ke dua lokasi tersebut. 
""Kita tempatkan petugas dari Sudin PPKUMKM supaya bisa melakukan pendaftaran,"" jelas Imron. 
Imron berharap, upaya ini dapat memudahkan pemerintah mengatur PKL sehingga situs Kota Tua tertatadengan rapi. Dapatkan Update Berita Republika Rimaunangis Digital LLC Roadshow ke Komunitas Kripto Dunia Perlunya Kesiapan Masyarakat Hidup Berdampingan dengan Teknologi Digital Dorong Pengembangan Blockchain, Binance Kerja Sama dengan Kota Busan Ini Pentingnya Meningkatkan Layanan Digital untuk Pelanggan Adopsi Crypto Makin Masif, Aplikasi PINTU Bagikan Pandangannya Politik Puan Maharani masih menjawab tidak tegas terkait pencapresannya di  Kampus Pendaftaran Staf Pengembangan Seleksi Mahasiswa Baru Universitas Pertamina dibuka sampai  Sptember . Liga Inggris Tuchel dan Aubameyang pernah bekerjasama di Borussia Dortmund. Pemerintah resmi menaikkan harga BBM pada hari ini, Sabtu (//). Ruzka Penyanyi Andmesh Kamaleng menyanyikan lagj 'Andaikan Kau Datang', untuk soundtrack film Miracle In Cell  yang dirilis  Agustus lalu. Berikut lirik lagu Andaikan Kau Datang dari Andmesh Kamaleng.  PHOTO  PHOTO  PHOTO  PHOTO  PHOTO Copyright ©  republika.co.id, All right reserved"
2;2;"TEMPO.CO, Jakarta - Pemerintah Provinsi (Pemprov) DKI Jakarta dan PT Kereta Api Indonesia (KAI) sepakat bekerja sama menata kawasan Kota Tua, Jakarta Barat. Salah satunya menjadikan Jalan Lada sebagai area pejalan kaki. ""Area pertama yang mau ditata adalah sekitar Jalan Lada Dalam, Jalan Kemukus dan Jalan Ketumbar hingga Plaza Beos,” kata Asisten Pembangunan dan Lingkungan Hidup Sekretaris Daerah DKI Jakarta Afan Andriansyah dikutip dari Berita Jakarta, Rabu,  November . Menurut dia, target penyelesaian pelaksanaan ini maksimal hingga pertengahan . Afan menjelaskan penataan di Kota Tua ini bakal mengubah delapan lajur yang dilalui kendaraan di Jalan Lada menjadi area pejalan kaki dan kawasan Low Emission Zone (LEZ) atau zona emisi rendah di Kota Tua. ""Kami ingin kembalikan area Kota Tua itu seperti kondisi original, kondisi yang ada di masa lampau. Selain itu area Kota Tua juga akan kami tata pedestriannya agar masyarakat lebih nyaman dan banyak yang bergeser ke angkutan umum masal,"" katanya. Dinas Perhubungan, kata dia, bakal mengatur dan mengarahkan lalu lintas pada arah Plaza Beos, tepatnya di depan Plaza Mandiri, Museum Bank Mandiri dan Museum Bank BI. Afan menuturkan Pemerintah Provinsi DKI Jakarta dan PT KAI telah menandatangani Perjanjian Kerja Sama (PKS) terkait penataan Kawasan Kota Tua ini. Hal ini sekaligus untuk mengoptimalkan integrasi antarmoda transportasi umum di sana. Penandatanganan Perjanjian Kerja Sama (PKS) dilakukan oleh Kepala Dinas Perhubungan DKI Jakarta Syafrin Liputo dan Direktur Niaga PT KAI Dadan Rudiansyah di Ruang Kolaborasi, Blok G Balai Kota DKI Jakarta, Rabu,  November . PKS penataan Kawasan Kota Tua ini sebagai tindak lanjut kesepakatan bersama antara PT MRT, PT KAI serta Kementerian BUMN untuk penataan stasiun tahap kedua. Adapun penataan tahap pertama yang sudah berjalan yakni Stasiun Manggarai, Stasiun Gondangdia, Stasiun Tebet, dan Stasiun Palmerah. Gubernur DKI Resmikan Pembangunan Kampung Susun Kunir Selalu update info terkini. Simak breaking news dan berita pilihan dari Tempo.co di kanal Telegram “Tempo.co Update”. Anda perlu meng-install aplikasi Telegram terlebih dahulu Gubernur Anies Baswedan mengklaim Jakarta cukup ramah bagi pejalan kaki Permasalahan PT KAI di antaranya yaitu pendudukan aset oleh mereka yang tidak berhak dalam kurun waktu yang lama. Anies Baswedan menyebut Wali Kota Rotterdam Ahmed Aboutaleb merasakan Jakarta yang kian berkembang dalam aspek pemanfaatan ruang publik. Anies Baswedan berharap lebih banyak lagi masyarakat yang berkeliling kota Jakarta dengan berjalan kaki agar dapat pengalaman baru Informasi detail tentang ragam hunian yang disediakan Pemprov DKI tersedia di Galeri Huni JakHabitat. Proses pendaftaran untuk membeli dan menyewa hunian kian mudah karena prosesnya online melalui Sirukim (Sistem Informasi Perumahan dan Permukiman). Seorang penumpang KRL mengaku mendapat pelecehan seksual dari sesama pria. Program RTS untuk menjawab problematika terkait limbah domestik yang masih terjadi di Ibu Kota. Gubernur DKI Jakarta mengajak delegasi U Mayors Summit menikmati suasana kawasan Kota Tua Jakarta Lokalisasi Gunung Antang yang terletak di Matraman, Jakarta Timur dibongkar oleh PT KAI Pemkot Jakbar menurunkan sedikitnya  petugas  selama  jam per hari untuk menjaga agar para wisatawan tidak parkir sembarangan di Kota Tua."
3;0;"TRIBUNNEWS.COM, JAKARTA - Destinasi wisata Dunia Fantasi, di kawasan Ancol Taman Impian, Jakarta Utara, akan ditutup untuk umum selama satu hari penuh pada Minggu (//) mendatang. Corporate Communications Ancol Taman Impian Rika Lestari mengatakan, Dufan ditutup karena tiketnya terjual habis untuk kegiatan sebuah perusahaan. ""Tepat di hari tersebut Dunia Fantasi Ancol tidak dibuka untuk umum karena tiketnya terjual habis dengan adanya acara gathering dari salah satu perusahaan,"" kata Rika dalam siaran pers, Rabu (//). Rika menuturkan, pengunjung bisa kembali berekreasi di Dufan pada Senin (//). Ia menambahkan, wahana rekreasi lain di Ancol Taman Impian tetap beroperasi normal pada Minggu. ""Masih banyak destinasi wisata favorit yang dapat dikunjungi yaitu Seaworld Ancol, Atlantis Water Adventures, Ocean Dream Samudra, Allianz Ecopark, Faunaland serta Pantai Ancol,"" ujar dia. Ia menyebut, pengunjung juga bisa beraktivitas di Pantai Lagoon dengan ber-jogging, senam aerobik, hingga menikmati pertunjukan musik pada sore hari. Artikel ini telah tayang di Kompas.com dengan judul "" November, Dunia Fantasi Ditutup untuk Umum"""
3;1;"Saturday,  Safar  /  September  Saturday,  Safar  /  September  Colette & Lola  REPUBLIKA.CO.ID, Pernah membayangkan tinggal di dunia penuh kue? Colette & Lola bisa membuat mimpi Anda menjadi kenyataan. Cakeshop yang baru berdiri pertengahan April  lalu itu bisa dikunjungi di Jl. Senopati Raya no. Jakarta. Nuansa manis dan warna-warna pastel sangat kental terasa ketika kita memasuki toko kue milik Ismaya Group tesebut. Terlihat di setiap sudut ruangan, berbagai alat memasak dan kue berwarna-warni dengan bentuk unik. Tentu saja tak ketinggalan, aroma coklat, vanilla, lemon dan harum manis lainnya langsung menggelitik hidung hingga membuat tidak sabar untuk mencobanya. Colette & Lola mengusung tema ""Cakes & Dreams"" membuat kita benar-benar seperti di dunia mimpi. Cupcakes yang tersusun rapi di etalase kaca dengan bentuk dan rasa yang beraneka ragam, sungguh menggoda mata pengunjung. Hazel Nutcracker, adalah cupcakes andalan toko kue ini. Dengan bertabur bubuk hazelnut, kue empuk dan bertekstur lembut itu menyembunyikan cokelat leleh di dalamnya. Begitu menggigit, lidah serasa dimanjakan lautan cokelat. Hanya saja bagi pecinta cokelar tak lengkap bila belum mencoba Bitter Sweet Love. Ini adalah kue pancake berukuran mini berasa cokelat gelap dengan hiasan chocochips atau cokelat putih. Kue dengan kombinasi rasa pahit dan manis menarik itu pun semakin indah dan menggiurkan. Tidak hanya cupcakes dan andalan di atas mereka juga memiliki kue unik yang belum pernah ada di toko kue manapun di jakarta, yakni Lego Cakes. Kue dengan rasa, yakni Blueberry, Pistachio, Lemon dan Raspberry. Kue ini benar-benar mirip mainan Lego yang biasa dimainkan anak-anak. Ukurannya tidak begitu besar, hanya sekitar x cm saja. Soal harga masih cukip terjangkau. Rentang untuk cupcakes yakni Rp.  - Rp.  per- cupcakes, edangkan untuk kue tart atau kue ulang tahun, yakni Rp . - Rp. .. Macaroons juga tersedia dengan berbagai macam rasa dengan Rp.  per-buahnya. Ada pula short bread dan cake pops yang lebih ekonomis untuk dibawa pulang mulai harga Rp.  - Rp. . Jangan lupa untuk mencicipi menu dessert dan minuman lainnya disini. Saatnya mewujudkan mimpi dengan hidup di dunia kue! Dapatkan Update Berita Republika Erick Thohir akan Teruskan Transformasi Holding Perkebunan lewat SugarCo dan PalmCo GMF Siap Layani Peningkatan Reaktivasi Pesawat Upayakan Pemulihan Kinerja, Ini Strategi GMF Ekonom Perkirakan Inflasi Capai Tujuh Persen pada  Politik Puan Maharani masih menjawab tidak tegas terkait pencapresannya di  Kampus Pendaftaran Staf Pengembangan Seleksi Mahasiswa Baru Universitas Pertamina dibuka sampai  Sptember . Liga Inggris Tuchel dan Aubameyang pernah bekerjasama di Borussia Dortmund. Pemerintah resmi menaikkan harga BBM pada hari ini, Sabtu (//). Ruzka Penyanyi Andmesh Kamaleng menyanyikan lagj 'Andaikan Kau Datang', untuk soundtrack film Miracle In Cell  yang dirilis  Agustus lalu. Berikut lirik lagu Andaikan Kau Datang dari Andmesh Kamaleng.  PHOTO  PHOTO  PHOTO  PHOTO  PHOTO Copyright ©  republika.co.id, All right reserved"
3;2;"Tayang, Film Oki dan Nirmala Dorong Anak Pelajari Dunia Fantasi KOMPAS.com - Paragon Pictures dan Ideosource Entertainment bekerja sama dengan Grid Network - KG Media akan mengangkat cerita bergambar (cergam) Oki dan Nirmala menjadi sebuah film serial. Kisah petualangan Oki dan Nirmala sudah ada sejak Majalah Bobo diterbitkan,  April . Kisah petualangan kurcaci Oki dan peri Nirmala dari negeri dongeng ini mempunyai penggemar setia dari generasi ke generasi yang terus bertumbuh. Saat ini, kisah Petualangan Oki dan Nirmala tidak hanya bisa dibaca di Majalah Bobo, tetapi juga bisa dinikmati dalam bentuk video animasi, melalui kanal Youtube Majalah Bobo. Selama ini video Petualangan Oki dan Nirmala masih menjadi yang paling favorit. Deputy Group Director Grid Network - KG Media, Harry Kristianto mengungkapkan, hadirnya film serial Oki dan Nirmala ini, merupakan sebuah mimpi yang menjadi kenyataan. ""Salah satu mimpi kami yang belum terwujud sejak lama adalah menghidupkan karakter yang kami miliki ke dalam bentuk film. Setelah melalui proses diskusi dan brainstorming yang cukup panjang sejak, kami yakin Paragon Pictures dan Ideosource Entertainment adalah mitra yang tepat untuk mewujudkan mimpi itu,"" ucap dia secara daring, Kamis (//). CEO Ideosource Entertainment, Andi Boediman mengungkapkan rasa senangnya bisa mendapatkan kepercayaan menggarap film serial Oki dan Nirmala ini. Dia mengaku, KG Media adalah group media yang memiliki dan membesarkan banyak Intellectual Property (IP) legendaris. Sinergi ini akan mengangkat IP legendaris ini menjadi relevan dengan generasi baru. ""Ketika anak didorong untuk mempelajari dunia fantasi, mereka akan menjelajahi dunia baru yang membuka imajinasi mereka. Oki dan Nirmala memberikan inspirasi melalui dunia fantasi yang menyenangkan,"" ungkapnya. Di film ini, Tissa Biani akan memerankan tokoh Nirmala. Sedangkan untuk pemeran Oki, akan dipilih melalui open casting, dan semua persyaratannya bisa dilihat melalui akun Instagram resmi Paragon Pictures. CEO Paragon Pictures, Robert Ronny menyatakan, sebuah pengalaman baru untuk dirinya mengangkat sebuah cerita bergambar ke format film. Dia mengaku, sejak kecil sangat suka membaca buku dan majalah, salah satu majalah yang rutin dibaca adalah majalan Bobo. Di Majalah Bobo ini, kata dia, banyak sekali cerita bergambar yang sangat disukainya, seperti Bobo, Bona, serta Oki dan Nirmala. Menurut dia, saat ini sangat dibutuhkan cerita anak-anak yang sangat positif tapi menghibur seperti Oki dan Nirmala ini. Apalagi, anak Indonesia darurat konten positif. ""Untuk Tissa Biani sendiri, saya sudah pernah kerja sama dengan Tissa Biani sebelumnya di film Bumi Itu Bulat. Dan saya lihat personality dan look Tissa sangat sangat pas menjadi Nirmala. She was born to play this role! It's a match that made in heaven,"" ujar dia. Produser film serial Oki dan Nirmala, Ellen Xie berharap, film ini bisa menghibur anak-anak Indonesia. Saat ini, film serial Oki dan Nirmala sedang dalam tahap pengembangan cerita, dia berkeinginan anak-anak yang menonton film serial ini, dapat membawa mereka berimajinasi, tertawa dan pastinya terhibur. ""Dengan serunya petualangan Oki dan Nirmala melawan Pipiyot dan tentunya akan menjadi nostalgia tersendiri untuk para penggemar dari generasi sebelumnya,"" harap dia. Editor in Chief Majalah Bobo, Lucia Triundari menambahkan, dia berharap kekuatan cerita yang selama ini menjadi unggulan kisah dari Negeri Dongeng ini terus dipertahankan. Dunia anak adalah dunia imajinasi yang indah dan bebas. Bagi anak-anak, imajinasi sangat penting untuk mengembangkan kreativitas. ""Semoga film serial Oki dan Nirmala ini bisa menjadi film pilihan keluarga Indonesia yang menghibur, penuh imajinasi dan berkualitas,"" tukas dia. Tulis komentarmu dengan tagar #JernihBerkomentar dan menangkan e-voucher untuk  pemenang! Dapatkan informasi dan insight pilihan redaksi Kompas.com Periksa kembali dan lengkapi data dirimu. Data dirimu akan digunakan untuk verifikasi akun ketika kamu membutuhkan bantuan atau ketika ditemukan aktivitas tidak biasa pada akunmu. Segera lengkapi data dirimu untuk ikutan program #JernihBerkomentar."
4;0;Saturday,  Safar  /  September  Saturday,  Safar  /  September  Menteri PUPR Basuki Hadimuljono (tengah) saat meninjau proyek revitalisasi Taman Mini Indonesia Indah (TMII) di Jakarta, Selasa (//). Kunjungan tersebut untuk melihat langsung progres revitalisasi TMII yang dipersiapkan untuk KTT G. REPUBLIKA.CO.ID, JAKARTA--Menteri PUPR Basuki Hadimuljono (kanan) saat meninjau proyek revitalisasi Taman Mini Indonesia Indah (TMII) di Jakarta, Selasa (//). Kunjungan tersebut untuk melihat langsung progres revitalisasi TMII yang dipersiapkan untuk KTT G. Dapatkan Update Berita Republika Eropa Grobachev akan dimakamkan di pemakaman terbesar di Moskow, yaitu Novodevichy. Politik Puan Maharani masih menjawab tidak tegas terkait pencapresannya di  Kampus Pendaftaran Staf Pengembangan Seleksi Mahasiswa Baru Universitas Pertamina dibuka sampai  Sptember . Liga Inggris Tuchel dan Aubameyang pernah bekerjasama di Borussia Dortmund. Pemerintah resmi menaikkan harga BBM pada hari ini, Sabtu (//). Copyright ©  republika.co.id, All right reserved
