Source.Name;Place_Id;News_No;News;Link
tourism_news_1 (new until 132).csv;1;0;"Sunday, 27 Rabiul Awwal 1444 / 23 October 2022 Sunday, 27 Rabiul Awwal 1444 / 23 October 2022  Sabtu   18 Jun 2022  16:26 WIB Rep: Muhammad Adimaja/  
             Red: Yogi Ardhi Warga berswafoto di kawasan Monumen Nasional (Monas), Jakarta, Sabtu (18/6/2022). Pemprov DKI Jakarta memutuskan kembali membuka kawasan Monas setelah adanya pelonggaran aturan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) di Jakarta yang saat ini menerapkan aturan PPKM level 1.   REPUBLIKA.CO.ID, JAKARTA -- Sejumlah warga menikmati suasana di kawasan Monumen Nasional (Monas), Jakarta, Sabtu (18/6/2022). Pemprov DKI Jakarta memutuskan kembali membuka kawasan Monas setelah adanya pelonggaran aturan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) di Jakarta yang saat ini menerapkan aturan PPKM level 1.  Dapatkan Update Berita Republika  Liga Inggris  Ten Hag tak memasukkan Ronaldo dalam skuad Manchester United melawan Chelsea. Nasional Inpicture   Ambon berusaha mengembangkan potensi wisata di daerah pesisir pantai. Bali Nusa Tenggara  Air Asia buka rute penerbangan internasional Penang-Denpasar-Penang Nasional Inpicture  Pameran bersama tersebut sebagai upaya mendongkrak jumlah kunjungan ke museum. Timur Tengah  Turki menyebut salah satu ancaman global saat ini adalah Islamofobia    Ahad, 23 Oct 2022, 00:02 WIB  Phone: 021 780 3747
Fax: 021 799 7903
Email:  newsroom@rol.republika.co.id (Redaksi)  sekretariat@republika.co.id (Redaksi) marketing@republika.co.id (Marketing)
 Copyright © 2018 republika.co.id, All right reserved";https://www.republika.co.id/berita/rdo27z314/taman-monumen-nasional-dibuka-kembali?page=all
tourism_news_1 (new until 132).csv;1;1;"Sunday, 27 Rabiul Awwal 1444 / 23 October 2022 Sunday, 27 Rabiul Awwal 1444 / 23 October 2022  Jumat   17 Jun 2022  10:54 WIB Rep: M Risyal Hidayat/  
             Red: Yogi Ardhi Warga berfoto dengan latar belakang Monumen Nasional (Monas), Jakarta, Kamis (16/6/2022). Pemprov DKI Jakarta menjanjikan akan membuka kembali kawasan Monas untuk umum dalam pekan ini yang sebelumnya ditutup sementara sejak 2020 karena pandemi COVID-19.   REPUBLIKA.CO.ID, Warga berfoto dengan latar belakang Monumen Nasional (Monas), Jakarta, Kamis (16/6/2022). Pemprov DKI Jakarta menjanjikan akan membuka kembali kawasan Monas untuk umum dalam pekan ini yang sebelumnya ditutup sementara sejak 2020 karena pandemi COVID-19. ANTARA FOTO/M Risyal Hidayat Dapatkan Update Berita Republika  Liga Inggris  Ten Hag tak memasukkan Ronaldo dalam skuad Manchester United melawan Chelsea. Nasional Inpicture   Ambon berusaha mengembangkan potensi wisata di daerah pesisir pantai. Bali Nusa Tenggara  Air Asia buka rute penerbangan internasional Penang-Denpasar-Penang Nasional Inpicture  Pameran bersama tersebut sebagai upaya mendongkrak jumlah kunjungan ke museum. Timur Tengah  Turki menyebut salah satu ancaman global saat ini adalah Islamofobia    Ahad, 23 Oct 2022, 00:02 WIB  Phone: 021 780 3747
Fax: 021 799 7903
Email:  newsroom@rol.republika.co.id (Redaksi)  sekretariat@republika.co.id (Redaksi) marketing@republika.co.id (Marketing)
 Copyright © 2018 republika.co.id, All right reserved";https://www.republika.co.id/berita/rdls6m314/wacana-pembukaan-kembali-taman-monumen-nasional-jakarta?page=all
tourism_news_1 (new until 132).csv;1;2;"Sunday, 27 Rabiul Awwal 1444 / 23 October 2022 Sunday, 27 Rabiul Awwal 1444 / 23 October 2022  Sabtu   02 Jul 2022  23:55 WIB Rep: Thoudy Badai/  
             Red: Yogi Ardhi Pengunjung melihat lanskap kota Jakarta menggunakan Teropong Binokular di Tugu Monumen Nasional (Monas), Jakarta Pusat, Sabtu (2/7/2022). Pemerintah Provinsi DKI Jakarta melakukan uji coba pembukaan objek destinasi wisata Tugu Monumen Nasional (Monas) selama dua minggu kedepan dengan kapasitas maksimal sebanyak sekitar 1.000 pengunjung per hari. Sebelumnya, kawasan objek wisata Monumen Nasional (Monas) Jakarta telah dibuka secara terbatas mulai 17 Juni 2022 usai penutupan karena pandemi Covid-19.   REPUBLIKA.CO.ID, JAKARTA -- Petugas membersihkan Teropong Binokular di Tugu Monumen Nasional (Monas), Jakarta Pusat, Sabtu (2/7/2022). Pemerintah Provinsi DKI Jakarta melakukan uji coba pembukaan objek destinasi wisata Tugu Monumen Nasional (Monas) selama dua minggu kedepan dengan kapasitas maksimal sebanyak sekitar 1.000 pengunjung per hari. Sebelumnya, kawasan objek wisata Monumen Nasional (Monas) Jakarta telah dibuka secara terbatas mulai 17 Juni 2022 usai penutupan karena pandemi Covid-19.  Dapatkan Update Berita Republika  Liga Inggris  Ten Hag tak memasukkan Ronaldo dalam skuad Manchester United melawan Chelsea. Nasional Inpicture   Ambon berusaha mengembangkan potensi wisata di daerah pesisir pantai. Bali Nusa Tenggara  Air Asia buka rute penerbangan internasional Penang-Denpasar-Penang Nasional Inpicture  Pameran bersama tersebut sebagai upaya mendongkrak jumlah kunjungan ke museum. Timur Tengah  Turki menyebut salah satu ancaman global saat ini adalah Islamofobia    Ahad, 23 Oct 2022, 00:02 WIB  Phone: 021 780 3747
Fax: 021 799 7903
Email:  newsroom@rol.republika.co.id (Redaksi)  sekretariat@republika.co.id (Redaksi) marketing@republika.co.id (Marketing)
 Copyright © 2018 republika.co.id, All right reserved";https://www.republika.co.id/berita/reekbr314/ujicoba-pembukaan-kembali-wisata-di-puncak-monumen-nasional?page=all
tourism_news_1 (new until 132).csv;2;3;Hampir Rampung, Ini Kabar Terbaru Revitalisasi Jalur Pedestrian Kota Tua JAKARTA, KOMPAS.com - Pemerintah Provinsi (Pemprov) DKI Jakarta tengah melakukan penataan kawasan Kota Tua, Jakarta Barat. Penataan tersebut mencakup revitalisasi jalur pedestrian untuk membuat kawasan jadi lebih ramah pejalan kaki. Melansir unggahan akun Twitter Pemprov DKI Jakarta @DKIJakarta, Selasa (2/8/2022), saat ini progres revitalisasi pedestrian telah mencapai 93 persen. Baca juga: Diterapkan di Stasiun Tanjung Priok hingga Kota Tua, Ini Sejarah Arsitektur Art Deco Nusantara Revitalisasi jalur pedestrian ini ditargetkan bisa rampung pada akhir bulan Agustus 2022 mendatang. Nantinya, trotoar akan dilengkapi dengan fasilitas street furniture, pohon teduh, taman dan air mancur. Demi mewujudkan kawasan yang ramah difabel, juga akan tersedia guiding block untuk mempermudah penyandang tuna netra bermobilitas. Adapun rencananya, Kota Tua akan disulap menjadi low emission zone atau kawasan rendah emisi.  Sementara itu, Direktur Utama PT Kenari Djaja Hendra B Sjarifudin mengatakan Kota Tua Jakarta banyak dimanfaatkan sebagai museum yang menyimpan segudang informasi berharga tentang sejarah kota. “Karena cakupannya yang luas, kawasan Kota Tua Jakarta ini memiliki beberapa objek wisata yang sangat menarik,” ujarnya dalam Seminar bertajuk Kota Tua-Pusaka Nusantara, Kamis (16/6/2022). Baca juga: Menilik Potensi Wisata Bersejarah Kota Tua Ketua Jurusan Arsitektur Universitas Trisakti Etty R Kridarso memprediksi, peninggalan Kota Tua Jakarta akan menjadi pariwisata daerah andalan yang mampu mendatangkan banyak kegiatan dan turis ke Indonesia. Di sisi lain, Jakarta yang pernah menjadi pusat Pemerintahan Kolonial Hindia Belanda juga banyak meninggalkan sisa kota lama dan aktivitas bersejarah. Seperti hasil penelitian Arsitek Ririk Winandari soal peninggalan arsitektur Kastil Batavia di Jakarta Utara yang memiliki cerita cukup berpengaruh terhadap lingkungan Kota Tua Jakarta dan sekitarnya.  Tulis komentarmu dengan tagar #JernihBerkomentar dan menangkan e-voucher untuk 90 pemenang! Dapatkan informasi dan insight pilihan redaksi Kompas.com Periksa kembali dan lengkapi data dirimu. Data dirimu akan digunakan untuk verifikasi akun ketika kamu membutuhkan bantuan atau ketika ditemukan aktivitas tidak biasa pada akunmu. Segera lengkapi data dirimu untuk ikutan program #JernihBerkomentar.;https://www.kompas.com/properti/read/2022/08/02/100000221/hampir-rampung-ini-kabar-terbaru-revitalisasi-jalur-pedestrian-kota-tua?page=all
tourism_news_1 (new until 132).csv;2;4;Menilik Potensi Wisata Bersejarah Kota Tua JAKARTA, KOMPAS.com – Wisata bersejarah masih menjadi salah satu tujuan favorit bagi pelancong domestik maupun mancanegara. Terlebih, Indonesia memiliki banyak peninggalan historis dengan ragam budaya melimpah, seperti halnya kota tua, kota lama dan sejenisnya. Kota tua atau kota lama di Indonesia memperlihatkan bukti masa kejayaan perdagangan tanah air di lingkup Asia pada abad 17 dan 18. Sebut saja Kota Tua Jakarta dengan bangunan peninggalan zaman kolonial yang saat ini banyak dimanfaatkan sebagai tempat wisata. Terkait hal ini, Direktur Utama PT Kenari Djaja Hendra B. Sjarifudin mengatakan Kota Tua Jakarta banyak dimanfaatkan sebagai museum yang menyimpan segudang informasi berharga tentang sejarah kota. Baca juga: Potensi Cuan dari Pengelolaan Aset Negara di Dekat Kota Tua “Karena cakupannya yang luas, kawasan Kota Tua Jakarta ini memiliki beberapa objek wisata yang sangat menarik,” ujarnya dalam Seminar bertajuk Kota Tua-Pusaka Nusantara, Kamis (16/6/2022). Ketua Jurusan Arsitektur Universitas Trisakti Etty R Kridarso memprediksi, peninggalan Kota Tua Jakarta akan menjadi pariwisata daerah andalan yang mampu mendatangkan banyak kegiatan dan turis ke Indonesia. Di sisi lain, Jakarta yang pernah menjadi pusat Pemerintahan Kolonial Hindia Belanda juga banyak meninggalkan sisa kota lama dan aktivitas bersejarah yang bisa dinikmati masyarakat. Seperti yang diteliti oleh Arsitek Ririk Winandari soal peninggalan arsitektur Kastil Batavia di Jakarta Utara yang memiliki cerita cukup berpengaruh terhadap lingkungan Kota Tua Jakarta dan sekitarnya. Tak hanya Kota Tua Jakarta, Indonesia juga punya Kota Lama di Padang, Sumatera Barat yang menyimpan sejarah Adat Minang. Baca juga: Revitalisasi Kota Tua Surabaya Harus Dilakukan Lebih Matang Arsitek Jonni Wongso memaparkan, kawasan yang juga disebut sebagai Padang Lama ini sangat potensial bagi perkembangan arsitektur daerah. Kawasan Padang Lama bernilai budaya kental dan menjadi salah satu produk wisata menarik karena melibatkan kehidupan masyarakat sekitar. Selain itu, ada juga Kota Tua di Kupang, Nusa Tenggara Timur (NTT) yang menyimpan sisa-sisa peninggalan Portugis. Arsitek Don Ara Kian menekankan bahwa Kota Tua Kupang ini memiliki potensi besar terkait peninggalan sejarah yang hampir punah. “Harapannya Kota Tua di NTT ini menjadi destinasi wisata di Indonesia Timur yang terus dikembangkan untuk mendatangkan wisatawan,” katanya pada kesempatan yang sama.  Tulis komentarmu dengan tagar #JernihBerkomentar dan menangkan e-voucher untuk 90 pemenang! Dapatkan informasi dan insight pilihan redaksi Kompas.com Periksa kembali dan lengkapi data dirimu. Data dirimu akan digunakan untuk verifikasi akun ketika kamu membutuhkan bantuan atau ketika ditemukan aktivitas tidak biasa pada akunmu. Segera lengkapi data dirimu untuk ikutan program #JernihBerkomentar.;https://www.kompas.com/properti/read/2022/06/17/090000921/menilik-potensi-wisata-bersejarah-kota-tua?page=all
tourism_news_1 (new until 132).csv;2;5;Festival Batavia Kota Tua Digelar Akhir Pekan Ini, Ada Apa Saja?  JAKARTA, KOMPAS.com - Pemerintah Provinsi (Pemprov) DKI Jakarta akan menggelar Festival Batavia di Taman Fatahillah, Kota Tua pada akhir pekan ini. Berkolaborasi dengan Jakarta Experience Board, festival ini tepatnya akan diselenggarakan mulai tanggal 26-28 Agustus 2022. Melansir unggahan akun Instagram resmi Pemprov DKI Jakarta @dkijakarta, Rabu (24/8/2022), akan ada penampilan komunitas dan pertunjukkan musik dari guest star spesial. Selain itu, juga akan ada berbagai tenant usaha mikro kecil menengah (UMKM) terbaik hasil kurasi Jakpreneur dan Sore Santai Market. Kemudian akan ada special booth dan workshop dari Rumah Atsiri Indonesia yang turut meramaikan acara. Baca juga: Menilik Potensi Wisata Bersejarah Kota Tua Masyarakat yang berminat hadir dalam acara tersebut tidak perlu mengeluarkan biaya masuk atau HTM gratis. Adapun Festival Batavia ini diselenggarakan untuk menyambut wajah baru Kota Tua yang baru saja rampung direvitalisasi. Kini, Kota Tua menjadi semakin terhubung dengan transportasi umum lewat stasiun kereta api commuter line dan halte Transjakarta. Ini ditandai lewat penataan jalur pedestrian yang membuat kawasan menjadi lebih ramah pejalan kaki. Trotoar di kawasan Kota Tua kini dilengkapi dengan street furniture, pohon teduh, taman dan air mancur. Baca juga: Diterapkan di Stasiun Tanjung Priok hingga Kota Tua, Ini Sejarah Arsitektur Art Deco Nusantara Demi mewujudkan kawasan yang ramah difabel, juga tersedia guiding block untuk mempermudah penyandang tuna netra bermobilitas. Sesuai dengan rencana awal, kawasan Kota Tua disulap menjadi low emission zone atau area rendah emisi. Inisiasi tersebut diiringi dengan mobilitas kendaraan pribadi yang akan diminimalisir untuk menekan polusi udara.  Tulis komentarmu dengan tagar #JernihBerkomentar dan menangkan e-voucher untuk 90 pemenang! Dapatkan informasi dan insight pilihan redaksi Kompas.com Periksa kembali dan lengkapi data dirimu. Data dirimu akan digunakan untuk verifikasi akun ketika kamu membutuhkan bantuan atau ketika ditemukan aktivitas tidak biasa pada akunmu. Segera lengkapi data dirimu untuk ikutan program #JernihBerkomentar.;https://www.kompas.com/properti/read/2022/08/24/163000121/festival-batavia-kota-tua-digelar-akhir-pekan-ini-ada-apa-saja-?page=all
tourism_news_1 (new until 132).csv;3;6;Purwakarta, UPI Pagelaran Seni Tari Drama dan Rupa UPI Kampus Purwakarta tahun 2015 baru saja usai. Pagelaran mahakarya mahasiswa UPI Kampus Purwakarta Angkatan 2014 ini diselenggarakan selama dua hari yaitu Selasa dan Rabu (15-16/12/2015) di Aula Barat UPI Kampus Purwakarta dengan maksud meningkatkan potensi dan kreativitas mahasiswa UPI Kampus Purwakarta, serta meningkatkan apresiasi sekaligus menjadi ajang memperkenalkan kesenian pada siswa SD sejak dini.  Pagelaran dan pameran yang dilaksanakan berdasarkan mata kuliah Seni Tari Drama dan Seni Rupa. Pagelaran dan pameran 2015 ini, memberi kesan tersendiri bagi para apresiator maupun pelaku seni. Pembukaan Pagelaran Seni Tari Drama dan Rupa 2015 dihadiri Ety Sukaesih M.Pd. dan Hj. Dian Kencana M.Pd. selaku dosen seni rupa serta Hayani Wulandari M.Pd. selaku dosen seni tari dan drama UPI Kampus Purwakarta. Tahun ini, Pagelaran mengambil tema “Fantasi di Negeri Khatulistiwa”. Mengapa? Karena di dalamnya ada berbagai macam tarian yang menggambarkan kekayaan yang ada di negeri kita, baik yang ada di daratan maupun di dalam laut. Selain itu fantasi dimaknai dengan “berimajinasi”. Sehingga, anak-anak terutama siswa sekolah dasar akan lebih bermain dengan imajinasinya ketika menonton pertunjukan pagelaran seni ini. Di hari pertama (15/12), para pemain drama membawakan sebuah cerita yang berjudul “The Wonderful life of The Ocean”. Di dalamnya menceritakan gambaran laut yang dicemari atau dirusak oleh manusia. Selain drama, ada juga penampilan dari berbagai macam tarian, seperti udang, cumi-cumi, gurita, perahu, ketapang, bakau, kelapa, kerang, pari, rumput laut, ubur-ubur, dan elang. Pada hari kedua pagelaran (16/12), para pemain drama membawakan sebuah cerita yang berjudul “Kabayan and His Hometown, ceunah.” Untuk pertunjukan drama pada hari ke-2, terkesan lebih berkomedi karena pembawaan dari para pemain drama yang membawakan cerita tersebut. Di hari kedua di isi oleh tarian: jeruk, mangga, ayam kate, cetok, bangau, soang, kodok, tikus, bebegig, padi, dan kerbau. Selain pertunjukan tari dan drama, ada juga pameran seni rupa yang merupakan rangkaian dari acara pagelaran. Disana memamerkan berbagai hasil karya seni dari mahasiswa UPI Kampus Purwakarta. Kesuksesan pagelaran tahun ini merupakan hasil dari kerja keras dari semua elemen yang mendukung acara tersebut. Tentunya ada saja hambatan dalam perjalanannya. Namun, karena kerja keras dari semua pihak, Pagerlaran Seni kali ini bisa mendatangkan banyak apresiator-apresiator baik dari sekolah dasar maupun dari masyarakat. “Hambatan tentu saja banyak, tetapi bisa kita lewati semuanya. Terbukti baru tahun ini penonton membludak jumlahnya mungkin karena adanya konsep baru dan kesiapan panitia yang lebih matang. Dengan tidak menyepelekan sebuah proses, Pagelaran Seni Angkatan 2014 ini bisa berjalan dengan baik.” ucap Arie Dharmawan, Ketua Pelaksana Pagelaran 2015, Sabtu (19/12/2015). (Firda&Mutia);https://berita.upi.edu/pagelaran-seni-2015-menjelajah-dunia-fantasi-di-negeri-khatulistiwa/?page=all
tourism_news_1 (new until 132).csv;3;7;"Sunday, 27 Rabiul Awwal 1444 / 23 October 2022 Sunday, 27 Rabiul Awwal 1444 / 23 October 2022  Senin   01 Aug 2022  18:11 WIB Rep: Alkhaledi Kurnialam/  
             Red: Nashih Nashrullah The Line   REPUBLIKA.CO.ID, RIYADH– Gambaran yang lebih jelas dari megaproyek NEOM di Arab Saudi menjadi lebih terlihat setelah Putra Mahkota Mohammed bin Salman mempublikasikan rencana kota linier sepanjang 170 kilometer. 
 Sebuah bagian kota yang disebut The Line yang diklaim mampu menampung lebih dari 9 juta orang.   
 Menurut pemerintah Arab Saudi, The Line akan mewujudkan bagaimana komunitas perkotaan di masa depan dalam lingkungan yang bebas dari jalan, mobil, dan emisi.  
 Wilayah ini dirancang 100 persen untuk pejalan kaki dan untuk energi terbarukan yang memprioritaskan kesehatan dan kesejahteraan individu. Pemukiman nantinya akan dibatasi pada tapak seluas 34 kilometer persegi untuk mengurangi perambahan infrastruktur ke alam.  
 Dilansir dari Archinect News, Jumat (29/7/2022), jalur ini dilengkapi dengan sistem rel berkecepatan tinggi yang mampu mengangkut pengendara dari ujung ke ujung hanya dalam waktu 20 menit.  
 Tata letak tempat tinggal lainnya akan didasarkan pada prinsip-prinsip konsep yang disebut Urbanisme Gravitasi Nol, yang memungkinkan pergerakan tiga arah orang melalui program bertumpuk.   
 Dengan memberlakukan pengaturan infrastruktur vertikal, Arab Saudi mengatakan The Line memungkinkan semua kebutuhan sehari-hari dapat diakses dalam waktu kurang dari 5 menit.  
 Salah satu hal yang masih mengganjal adalah penampakan fasad cermin raksasa, meskipun menurut pemerintah dimaksudkan untuk mencerminkan lanskap sekitarnya. Tapi pada kenyataannya, menciptakan kehadiran yang mengesankan dan tidak alami yang diperparah dengan ketinggiannya yang mencapai 500 meternya.  
 Dalam siaran pers disebutkan, perlunya memajukan teknologi konstruksi secara signifikan agar konstruksi ini dapat dicoba, karena jika memang ini terwujud, berarti akan menjadi gedung tertinggi ke-12 di dunia (belum lagi yang terpanjang).  Sejalan dengan itu, pengguna media sosial tertentu dengan cepat mempertanyakan kelayakan akhir rencana tersebut.     Dapatkan Update Berita Republika Mengapa Pemerintah Belum Juga Tetapkan Status KLB Gagal Ginjal Akut Anak? Formulir C1 Digital demi Cegah Berulangnya Ratusan Petugas KPPS Meninggal Saat Pemilu Gas Air Mata Picu Jatuhnya Banyak Korban Meninggal di Kanjuruhan Jadi Kesimpulan TGIPF Dugaan Adanya Korelasi Antara Kasus Gagal Ginjal Akut pada Anak dan Covid-19 Isyarat dari Mahfud Bahwa akan Ada Tersangka dari Pihak PSSI Khazanah  Manfaat memiliki pusat penahanan di dalam wilayah Masjid Nabawi ada dua. Liga Inggris  Ten Hag tak memasukkan Ronaldo dalam skuad Manchester United melawan Chelsea. Nasional Inpicture   Ambon berusaha mengembangkan potensi wisata di daerah pesisir pantai. Bali Nusa Tenggara  Air Asia buka rute penerbangan internasional Penang-Denpasar-Penang Nasional Inpicture  Pameran bersama tersebut sebagai upaya mendongkrak jumlah kunjungan ke museum. 3 PHOTO 3 PHOTO 6 PHOTO 3 PHOTO 4 PHOTO Ahad, 23 Oct 2022, 00:02 WIB Sabtu, 22 Oct 2022, 20:06 WIB  Phone: 021 780 3747
Fax: 021 799 7903
Email:  newsroom@rol.republika.co.id (Redaksi)  sekretariat@republika.co.id (Redaksi) marketing@republika.co.id (Marketing)
 Copyright © 2018 republika.co.id, All right reserved";https://www.republika.co.id/berita/rfxoer320/the-line-arsitektur-3-dimensi-mirip-dunia-fantasi-dari-proyek-ambisius-neom-arab-saudi?page=all
tourism_news_1 (new until 132).csv;3;8;"Sunday, 27 Rabiul Awwal 1444 / 23 October 2022 Sunday, 27 Rabiul Awwal 1444 / 23 October 2022  Senin   29 Dec 2008  21:19 WIB   
             Red:    JAKARTA--Libur panjang akhir tahun membuat taman rekreasi Dunia Fantasi, Ancol, Jakarta Utara, dipadati para pengunjung. Kawasan itu memang selalu menjadi favorit warga Jakarta untuk berekreasi.    ""Musim liburan kali ini, pengunjung bisa mencapai 10.000-15.000 orang perhari. Hari ini saja pengujung yang datang mencapai 13.000 orang,"" ujar Customer Service Manager Dunia Fantasi, Bagus T Prayogo kepada Republika Online, akhir pekan lalu. Dibandingkan dengan hari biasa, lanjut Bagus,secara signifikan memang terjadi kenaikan jumlah pengunjung.    Bagus menyatakan, sejauh ini DUfan tetap menjadi favorit warga Jakarta yang memilih menghabiskan liburan di dalam kota.""Dengan menghabiskan dana yang tidak banyak pengunjung bisa menikmati beragam wahana sepuasnya,"" ujar Bagus.    Untuk menambah semarak liburan akhir tahun pihak pengelola mengadakan serangkaian acara seperti Motor Action yakni sebuah pertunjukan akrobatik motor dan Slam dunk yang akan menghibur para pengunjung tiap hari di wahana Rama dan Sinta. Kemudian juga pesta kembang api yang menjadi acara spesial menjelang tutup,diadakan setiap pukul 19.00 WIB.    Nah, bagi anda yang ingin menikmati pesta kembang api serta serunya berbagai wahana yang ada, Anda cukup mengeluarkan kocek 120 ribu rupiah. Dunia fantasi dibuka mulai pukul 10.00 WIB hingga 20.00 WIB. (cr2/ri) Dapatkan Update Berita Republika Mengapa Pemerintah Belum Juga Tetapkan Status KLB Gagal Ginjal Akut Anak? Formulir C1 Digital demi Cegah Berulangnya Ratusan Petugas KPPS Meninggal Saat Pemilu Gas Air Mata Picu Jatuhnya Banyak Korban Meninggal di Kanjuruhan Jadi Kesimpulan TGIPF Dugaan Adanya Korelasi Antara Kasus Gagal Ginjal Akut pada Anak dan Covid-19 Isyarat dari Mahfud Bahwa akan Ada Tersangka dari Pihak PSSI Khazanah  Manfaat memiliki pusat penahanan di dalam wilayah Masjid Nabawi ada dua. Liga Inggris  Ten Hag tak memasukkan Ronaldo dalam skuad Manchester United melawan Chelsea. Nasional Inpicture   Ambon berusaha mengembangkan potensi wisata di daerah pesisir pantai. Bali Nusa Tenggara  Air Asia buka rute penerbangan internasional Penang-Denpasar-Penang Nasional Inpicture  Pameran bersama tersebut sebagai upaya mendongkrak jumlah kunjungan ke museum. 3 PHOTO 3 PHOTO 6 PHOTO 3 PHOTO 4 PHOTO Ahad, 23 Oct 2022, 00:02 WIB Sabtu, 22 Oct 2022, 20:06 WIB  Phone: 021 780 3747
Fax: 021 799 7903
Email:  newsroom@rol.republika.co.id (Redaksi)  sekretariat@republika.co.id (Redaksi) marketing@republika.co.id (Marketing)
 Copyright © 2018 republika.co.id, All right reserved";https://www.republika.co.id/berita/23100/dunia-fantasi-dipadati-pengunjung-pada-musim-liburan?page=all
tourism_news_1 (new until 132).csv;4;9;"Sunday, 27 Rabiul Awwal 1444 / 23 October 2022 Sunday, 27 Rabiul Awwal 1444 / 23 October 2022  Kamis   03 Mar 2022  17:18 WIB   
             Red: Mohamad Amin Madani Pengunjung menaiki kereta gantung saat berwisata di Taman Mini Indonesia Indah (TMII), Jakarta Timur, Kamis (3/3/2022). Meski sejumlah anjungan sedang direnovasi, tak menyurutkan minat warga untuk berwisata di TMII saat libur Hari Raya Nyepi Tahun Baru Saka 1944.   REPUBLIKA.CO.ID,JAKARTA--Pengunjung menaiki kereta gantung saat berwisata di Taman Mini Indonesia Indah (TMII), Jakarta Timur, Kamis (3/3/2022). Meski sejumlah anjungan sedang direnovasi, tak menyurutkan minat warga untuk berwisata di TMII saat libur Hari Raya Nyepi Tahun Baru Saka 1944.  Dapatkan Update Berita Republika  Khazanah  Manfaat memiliki pusat penahanan di dalam wilayah Masjid Nabawi ada dua. Liga Inggris  Ten Hag tak memasukkan Ronaldo dalam skuad Manchester United melawan Chelsea. Nasional Inpicture   Ambon berusaha mengembangkan potensi wisata di daerah pesisir pantai. Bali Nusa Tenggara  Air Asia buka rute penerbangan internasional Penang-Denpasar-Penang Nasional Inpicture  Pameran bersama tersebut sebagai upaya mendongkrak jumlah kunjungan ke museum.    Ahad, 23 Oct 2022, 00:05 WIB  Phone: 021 780 3747
Fax: 021 799 7903
Email:  newsroom@rol.republika.co.id (Redaksi)  sekretariat@republika.co.id (Redaksi) marketing@republika.co.id (Marketing)
 Copyright © 2018 republika.co.id, All right reserved";https://www.republika.co.id/berita/r85zaz283/suasana-liburan-di-taman-mini-indonesia-indah?page=all
