Place_Id;News_No;News;Link
292;7;"TEMPO.CO.Tangerang-Pemilihan kepala desa serentak di Kabupaten Tangerang berlangsung hari ini, Ahad 10 Oktober 2021 di 77 desa, di 26 kecamatan se-Kabupaten Tangerang. Sekretaris Daerah Kabupaten Tangerang Moch. Maesyal Rasyid mengatakan Pilkades serentak yang sedianya berlangsung hari ini sudah melalui tahapan termasuk simulasi pemilihan yang digelar sepekan sebelumnya di halaman Kantor Kecamatan Legok. ""Pelaksanaan Pilkades hari ini tetap menerapkan protokol kesehatan, ini berlaku juga di tempat pemungutan suara (TPS),"" kata Maesyal Ahad 10 Oktober 2021. Ia berharap seluruh masyarakat menggunakan hak pilihnya dengan tetap mematuhi protokol kesehatan. DPMPD mencatat, pelaksanaan Pilkades Serentak di Kabupaten Tangerang akan digelar di 1.178 TPS yang tersebar di 77 desa dan 26 Kecamatan yang ada di Kabupaten Tangerang, dengan jumlah calon kepala desa mencapai kurang lebih 306 orang. ""Kami berharap masyarakat menggunakan hak pilih dengan tidak menimbulkan kerumunan, caranya datang diatur per rukun warga,"" kata Maesyal. Dia menambahkan agar masyarakat setelah menggunakan hak pilih langsung pulang ke rumah masing-masing. Demi menjaga situasi tenang di tengah masa Pandemi Covid-19 ini, penghitungan suara bisa disaksikan masyarakat melalui streeming Youtube. Selain itu, panitia pemilihan di TPS kata Maesyal akan menyiapkan segala kemungkinan yang terjadi seperti ditemukannya masyarakat yang terdeteksi mengalami gejala Covid-19, maka tim tenaga kesehatan telah disiapkan di lokasi TPS. ""Jika ada yang suhunya di atas 37 derajat, kami siapkan testing swab antigen dan tetap memilih di bilik suara khusus yang terpisah,"" ujar Maesyal. Kepala Dinas Pemberdayaan Masyarakat dan Pemerintahan Desa Dadan Gandana mengatakan kelancaran kegiatan pemungutan suara juga sudah masuk dalam simulasi. Sehingga jika benar terjadi gangguan panitia sudah siap. Walaupun hal itu patut dihindari. ""Jika pemilih yang melanggar peraturan Pilkades seperti menggunakan atribut, atau simbol-simbol lain akan disita aparat keamanan di TPS,"" ujar Dadan. ia berharap Pilkades berjalan dengan aman dan damai, menjaga protokol kesehatan. Baca: Pilkades Serentak di Kabupaten Tangerang, Pasukan Gabungan Siaga Dinas Kesehatan Kabupaten Tangerang mengonfirmasi sebanyak enam anak usia di bawah lima tahun mengalami gagal ginjal akut.  Dokter paru meminta masyarakat tetap disiplin memakai masker demi menekan risiko penularan COVID-19 varian XBB. DP3A Kabupaten Tangerang, Banten telah menangani 38 kasus kekerasan dalam rumah tangga (KDRT) sepanjang Januari hingga Oktober 2022. Terdapat dua hal perjanjian yang dijalin Presiden Jokowi dengan Perdana Menteri Palestina Mohammad Shtayyeh. Badan Kesehatan Dunia, WHO memperingatkan bahwa pandemi Covid-19 belum berakhir, mencatat bahwa sirkulasi subvarian COVID-19 Omicron XBB memicu lonja Pengumuman penghargaan berlangsung pada September tahun lalu. Namun tim Priyadarshni Academy menyerahkan penghargaan secara fisik tahun ini. Ballon d'Or pertama kali digagas pada 1956 oleh wartawan sekaligus mantan pesepak bola Prancis, Gabriel Hanot. Berikut kisah trofi bergengsi ini. Mendagri Tito Karnavian berharap Pj Gubernur DKI Heru Budi Hartono bisa meneruskan estafet kepemimpinan dari Anies Baswedan dalam menangani Covid-19. Masyarakat harus tetap melakukan protokol kesehatan hingga Indonesia dinyatakan bebas dari pandemi, salah satunya dengan rutin cuci tangan.  Peletakan batu pertama pada 2016, kini progres pembangunan proyek Kereta Cepat Jakarta-Bandung capai 88,8 persen. Ini rekam jejak sejak wacana era SBY";https://metro.tempo.co/read/1515660/pilkades-serentak-kabupaten-tangerang-306-calon-berlaga-di-77-desa?page=all
292;8;TRIBUNTRAVEL.COM - Ada rencana liburan akhir pekan ke Bogor tidak traveler? Jika iya, kamu bisa jelajah wisata gunung di Bogor. Terdapat banyak pilihan wisata gunung di Bogor yang dapat dikunjungi, termasuk Curug Cilember. Curug Cilember lokasinya di Jalan Raya Puncak Gadog, Cilember, Megamendung, Bogor, Jawa Barat. Curug Cilember memiliki daya tarik tersendiri bagi wisatawan. Baca juga: Harga Tiket Masuk Curug Cikuluwung, Wisata Gunung di Bogor yang Punya Pemandangan Menakjubkan Satu hal yang bikin kangen saat liburan ke Curug Cilember yaitu pesona 7 sumber air terjun dalam satu lokasi. Debit air terjun yang tak begitu deras ini menjadi salah satu spot favorit pengunjung. Bukan hanya menawarkan keindahan air terjun saja, Curug Cilember juga menyediakan wahana menarik. Kamu yang penasaran ingin berwisata ke Curug Cilember bisa nih menyimak informasi terbaru dari TribunTravel ini: Harga Tiket Masuk Curug Cilember Berikut daftar harga tiket masuk Curug Cilember: - HTM wisatawan domestik Rp 25.000 - HTM wisatawan mancanegara Rp 75.000 - Biaya camping Rp 35.000 - Tarif parkir motor Rp 5.000 - Tarif parkir mobil Rp 10.000 Harga tiket masuk ini sudah termasuk untuk kunjungan ke Taman Kupu-kupu. Apabila ingin camping di Curug Cilember, kamu bisa sewa perlengkapan yang disediakan. Harganya cukup terjangkau jika ingin camping dengan teman-teman. - Sewa tenda kapasitas 6 orang Rp 350.000 - Sewa tenda kapasitar 3 orang Rp 180.000 Persewaan tenda ini sudah termasuk dengan matras dan sleeping bag. Jam Operasional Curug Cilember Curug Cilember buka selama 24 jam. Jadi kamu bisa datang kapan saja sesuai rencana liburanmu. Baca juga: Wisata Gunung di Bogor, 4 Hotel Bintang 2 Dekat Puncak Lalana untuk Staycation saat Akhir Pekan Baca juga: Puncak Lalana, Rekomendasi Wisata Gunung di Bogor untuk Pendaki Pemula Wahana di Curug Cilember Selain terkenal dengan 7 tingkatan air terjun dalam satu lokasi, Curug Cilember juga menawarkan wahana yang menarik dicoba. Beragam wahana di Curug Cilember bisa kamu cobain bersama teman-teman saat liburan. Akan tetapi jika ingin mencoba wahana di Curug Cilember, kamu perlu membayar tiketnya lagi. Berikut daftar tarif wahananya: • Flying Fox Wisnus: Rp 25.000 • Flying Fox Wisman: Rp 50.000 • Shooting Target Wisnus: Rp 25.000 • Shooting Target Wisman: Rp 40.000 • Rumah Hobbit Wisnus: Rp 20.000 • Rumah Hobbit Wisman: Rp 40.000 • Panahan Wisnus: Rp 20.000 • Panahan Wisman: Rp 40.000 • Sepeda Layang Wisnus: Rp 25.000 • Sepeda Layang Wisman: Rp 40.000 TribunTravel.com/Nurul Intaniar Kumpulan artikel wisata gunung di Bogor Baca juga: Wisata Gunung di Bogor, 5 Hotel Murah Dekat Curug Cilember Mulai Rp 138 Ribuan Baca juga: 5 Hotel Murah Dekat Curug Putri Kencana, Cocok untuk Menginap saat Jelajah Wisata Gunung di Bogor web9-superball;https://travel.tribunnews.com/2021/11/03/htm-jam-buka-dan-tarif-wahana-di-curug-cilember-untuk-liburan-akhir-pekan?page=all
292;9;"TRIBUNTRAVEL.COM - Ingin liburan akhir pekan ke Curug Malela? Sebaiknya kamu lebih waspada. Bukan tanpa alasan mengapa kamu harus lebih berhati-hati saat liburan ke Curug Malela. Terutama saat musim hujan, liburan ke Curug Malela bisa menjadi tantangan tersendiri. Pasalnya, debit air di aliran sungai Curug Malela ini berpotensi meningkat terutama saat terjadi hujan deras. Baca juga: Hadirkan Suasana Tenang dan Sejuk, 5 Curug di Bogor Ini Cocok untuk Liburan Akhir Pekan Baca juga: Foto Haico Van Der Veken Liburan ke Sejumlah Curug di Jawa Barat, Akui Ketagihan & Tak Pernah Bosan Kondisi seperti ini bisa membahayakan wisatawan yang berkunjung ke objek wisata tersebut. Kepala Dinas Pariwisata dan Kebudayaan (Disparbud) KBB, Heri  Partomo mengatakan, kewaspadaan tersebut perlu dilakukan wisatawan karena berkaca pada tahun 2019 lalu, ada 3 orang warga sekitar yang terseret aliran sungai di Curug Malela saat kondisi airnya deras. ""Dulu pernah banjir bandang di Curug Malela, jadi wisatawan harus meningkatkan kewaspadaan, terutama saat berkunjung ketika terjadi cuaca ekstrem,"" ujarnya saat dihubungi, Minggu (21/11/2021). Terkait antisipasi kejadian yang sama terulang lagi, pihaknya menyerahkan kepada Kelompok Sadar Wisata (Pokdarwis) di Kecamatan Rongga, maupun pengelola objek wisata Curug Malela itu sendiri. Kendati demikian, pihaknya tidak akan sampai memberlakukan skema buka tutup di objek wisata tersebut karena Curug Malela baru saja dibuka setelah Pemberlakukan Pembatasan Kegiatan Masyarakat (PPKM) Level 2 atau sekitar beberapa bulan lalu. ""Kita tetap izinkan buka, tapi tetap harus melihat kewaspadaan karena kita tidak bisa memprediksi kejadian banjir bandang,"" kata Heri. Namun, pihaknya memastikan untuk saat ini kawasan Curug Malela ini bisa lebih aman untuk kunjungi wisatawan karena ada beberapa spot yang sudah dibenahi. Baca juga: 4 Curug Indah Dekat Cimory Dairyland Puncak, Ada Curug Cilember hingga Curug Naga Baca juga: Harga Tiket Masuk Curug Cikuluwung November 2021, Termasuk Biaya Camping ""Kalau melihat kondisi beberapa spot yang sekarang, Insya Allah akan lebih aman. Kalau waktu itu ada yang terbawa arus karena lagi berada di tengah (sungai),"" ucapnya. Heri mengatakan, meski beberapa spot Curug Malela sudah aman dikunjungi, tetapi pengawasan wisatawan masih perlu dilakukan oleh pengelola agar mereka tidak sampai menginjak titik yang berbahaya seperti aliran sungai. ""Saya kira mereka sudah paham betul, intinya waspada saja terkait cuaca ekstrem seperti saat ini,"" ujar Heri. Sebagai informasi Curug Malela merupakan satu tempat wisata alam di Bandung Barat. Curug Malela terbilang unik karena air terjunnya yang melebar melewati beberapa bebatuan besar. Dengan ketinggian sekira 70 meter, air terjun di Curug Cimahi melewati 5 jalur aliran. Menariknya kelima aliran ini cukup deras. Pemandangan semakin instagenic dengan vegetasi hijau sekitarnya. Meski menawarkan pemandangan air terjun yang memikat mata, harap dicatat untuk tidak berenang di sana. Kolam di bawah curug cukup berbahaya. Curug Malela berlokasi di Kampung Manglid, Desa Cicadas, Kecamatan Rongga, Bandung Barat, Jawa Barat. Harga tiket masuk Curug Malela Rp 5 ribu/orang. Baca juga: Harga Tiket Masuk 5 Curug Terbaik di Bandung Barat November 2021 untuk Liburan Akhir Pekan Artikel ini telah tayang di TribunJabar.id dengan judul Sempat Makan Korban, Wisatawan yang Berkunjung ke Curug Malela Diminta Waspada Saat Cuaca Ekstrem web6-superball";https://travel.tribunnews.com/2021/11/22/ingin-liburan-di-curug-malela-saat-musim-hujan-ini-yang-patut-kamu-waspadai?page=all
293;10;"Sebelum Kota Bandung diramaikan dengan beragam taman tematik seperti sekarang ini, Taman Badak yang terletak di Balai Kota Bandung sudah menjadi tempat yang dijadikan tujuan rekreasi oleh warga maupun wisatawan yang berkunjung ke Bandung. Salah satu ciri khas dari taman ini adalah sebuah patung badak putih yang bertengger di tengah kolam air. Konon katanya, zaman dulu di kawasan taman tersebut merupakan tempat bagi para badak untuk mandi, maka dari itu didirikanlah sebuah patung badak di taman ini. Patung badak dan kawasan sekitarnya sempat tak terawat beberapa waktu lalu. Hingga pada akhirnya, proses revitalisasi Taman Badak dan Taman Dewi Sartika rampung dan diresmikan pada Selasa (19/12) lalu oleh Walikota Bandung, Ridwan Kamil. Selain reaktivasi air mancur di Taman Badak, Pemerintah Kota Bandung juga menambahkan sebuah kolam dangkal yang dapat dipergunakan oleh anak-anak bermain di dalamnya, serta patung ikan yang letaknya di belakang patung badak. Taman Badak sendiri memiliki luas 870 m2. Sedangkan untuk Taman Dewi Sartika, perubahan dapat terlihat dari tugu penopang patung tersebut yang kini telah dibuat lebih tinggi posisinya, serta lebih artistik. Lokasi dari patung ini juga mengalami perubahan, dari yang sebelumnya berada di samping taman, kini menjadi di tengah-tengah gerbang selatan Balai Kota Bandung. Jadi kini Anda dapat mengakses langsung taman ini melalui jalur di seberang Taman Vanda, tanpa harus memutar terlebih dahulu. Kedua kawasan taman ini juga ditumbuhi oleh aneka ragam bunga warna-warna yang indah yang asyik dipandang mata. Bagi Anda yang ingin mengajak keluarga bermain di taman ini, Anda dapat langsung masuk ke kedua taman tersebut dengan cuma-cuma. Rencananya, di taman ini akan ditambahkan pula penangkaran beberapa hewan, seperti kelinci, aneka burung dan rusa tutul. Di samping itu, Anda juga dapat keliling kota menggunakan Bus Bandros yang nantinya akan menjadikan Taman Dewi Sartika sebagai terminalnya. Tautan artikel ini: http://yourbandung.com/taman-badak-dan-taman-dewi-sartika-bandung-kini-tampil-dengan-wajah-baru/ […] Baca juga: http://yourbandung.com/taman-badak-dan-taman-dewi-sartika-bandung-kini-tampil-dengan-wajah-baru/ […] Save my name, email, and website in this browser for the next time I comment.  

 
			There are no upcoming events.";https://yourbandung.com/taman-badak-dan-taman-dewi-sartika-bandung-kini-tampil-dengan-wajah-baru/?page=all
293;11;liputan6 04 Jul 2013, 07:10 WIBDiperbarui 04 Jul 2013, 07:10 WIB * BACA BERITA TERKINI LAINNYA DI GOOGLE NEWS Advertisement Advertisement Advertisement;https://www.liputan6.com/news/read/629797/video-badak-bercula-satu-mati-di-taman-nasional-ujung-kulon?page=all
293;12;"BANDUNG - Hewan langka Badak bercula, yang mendiami Taman Nasional Ujung Kulon dilaporkan aman dan tidak terkena imbas bencana tsunami yang menimpa kawasan pesisir Banten dan Lampung pada Sabtu 22 Desember 2018 malam lalu.
 ""Aman, karena Badak Jawa kan kumpulnya di tengah dan di pinggir pantai ke selatan, sedangkan yang terkena imbas ini di utara,"" ujar Kepala Taman Nasional Ujung Kulon (TNUK) Mamat Rahmat, pada Senin (24/12/2018).



  Dikatakan Mamat, kawasan Taman Nasional memang cukup luas, dari kawasan hutan hingga dengan bibir pantai. ‎
  ""Tapi seringnya di hutan, kalau ke pantai sekali-sekali saja kalau butuh air asin, ketika air sungai di hutan tercampur air laut, dia enggak ke pantai. Tapi yang pasti habitat Badak Jawa di hutan ini jaraknya jauh sekali dari bibir pantai,"" jelasnya.
 Meski begitu, sejumlah titik di TNUK turut diterjang tsunami namun terjangan air laut tidak sampai ke tengah habitat Badak Jawa.
 ""Ke TNUK hempasnya hanya 50 meter, tidak semua tempat di TNUK. Fasilitas di TNUK kena, ada resort yang hancur. Baru dua yang kami ketahui, satu petugas kami meninggal dan satu lagi belum ditemukan. Sisanya masih kami pantau,"" pungkasnya.

 Baca Juga: Kelelahan, Tanda Tubuh Kekurangan Vitamin dan Mineral  (put) Berita Terkait  Bagikan Artikel Ini   Berita Lainnya © 2007 - 2022 Okezone.com, All Rights Reserved";https://news.okezone.com/read/2018/12/24/525/1995426/badak-di-taman-nasional-ujung-kulon-aman-dari-terjangan-tsunami?page=all
294;13;Sinopsis Adventureland, Kisah Asmara Bermula dari Taman Hiburan  JAKARTA, KOMPAS.com - Adventureland merupakan film drama komedi yang dibintangi Jesse Eisenberg dan Kristen Stewart. Film besutan sutradara Greg Mottola ini perdana tayang pada 2009 silam. Kini Anda dapat menyaksikan kembali film Adventureland di layanan streaming Mola TV. Baca juga: Sinopsis Film One Fine Day, Kisah Cinta Segitiga di Barcelona Adventureland berkisah tentang pemuda bernama James (Jesse Eisenberg) yang ingin melanjutkan kuliah pascasarjana di Universitas Columbia. Beberapa hari setelah menerima surat penerimaan, orang tua James memberi tahu bahwa keluarganya kini tengah dililit kesulitan finansial. Alih-alih melanjutkan kuliah, mereka meminta James untuk segera mencari pekerjaan. Baca juga: Sinopsis 50 First Dates, Ketika Playboy Mencintai Perempuan Amnesia  Karena belum memiliki pengalaman, James kesulitan mendapat pekerjaan yang sesuai dengan minatnya. James kemudian diterima bekerja di taman hiburan Adventureland melalui koneksi temannya yang bekerja di sana. Di taman hiburan ini, James bertemu beberapa pegawai lain dengan karakter yang beragam. Baca juga: Sinopsis Familiar Wife, Kesempatan untuk Mengubah Jalan Hidup Salah satunya Emily Lewin atau yang akrab dipanggil Em (Kristen Stewart). Em sebetulnya bekerja di wahana lain, tapi mereka bertemu saat Em menyelamatkan James dari tikaman pisau pengunjung yang mabuk. Sejak saat itu, James dan Em sering bertemu dan ternyata mereka memiliki selera musik yang sama. Baca juga: Sinopsis The Choice, Ketika Cinta Menghadirkan Pilihan Sulit Keduanya akhirnya mulai jatuh cinta, namun Em belum mau berpacaran. Hubungan mereka diuji ketika James tergoda oleh ajakan berkencan dari Lisa (Margarita Laviev), wanita yang menjadi primadona karyawan Adventureland. James menerima ajakan berkencan Lisa, namun menyembunyikan hal ini dari Em. Baca juga: Sinopsis I Still Know What You Did Last Summer, Segera di Netflix Dihantui rasa bersalah, James kemudian memilih mengaku pada Em bahwa dia telah berkencan dengan Lisa di belakangnya. Pada saat bersamaan, rahasia Em juga terbongkar. Ternyata Em selama ini menjadi selingkuhan Mike Connel (Ryan Reynolds), pria yang telah memiliki istri. Baca juga: Sinopsis Berlin Syndrome, Ketika Cinta Semalam Berakhir Jadi Penculikan Bagaimana kelanjutan kisah asmara antara James dan Em? Simak selengkapnya dalam film Adventureland yang dapat Anda saksikan di Mola TV.  Tulis komentarmu dengan tagar #JernihBerkomentar dan menangkan e-voucher untuk 90 pemenang! Dapatkan informasi dan insight pilihan redaksi Kompas.com Periksa kembali dan lengkapi data dirimu. Data dirimu akan digunakan untuk verifikasi akun ketika kamu membutuhkan bantuan atau ketika ditemukan aktivitas tidak biasa pada akunmu. Segera lengkapi data dirimu untuk ikutan program #JernihBerkomentar.;https://www.kompas.com/hype/read/2021/01/26/195807566/sinopsis-adventureland-kisah-asmara-bermula-dari-taman-hiburan?page=all
294;14;;https://www.viva.co.id/berita/nasional/538261-warga-bandung-kini-bisa-nonton-gratis-di-taman-film?page=all
294;15;Sinopsis Jurassic Park, Petaka di Taman Dinosaurus, Tayang di Netflix JAKARTA, KOMPAS.com - Jurassic Park merupakan film arahan sutradara Steven Spielberg yang diadaptasi dari novel berjudul sama karya Michael Crichton. Film yang dirilis pada 1993 ini menjadi pembuka dari trilogi dan franchise film Jurassic Park. Film ini dibintangi Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, juga Samuel L. Jackson. Cerita film Jurassic Park berlatar di pulau fiksi Isla Nublar, yang terletak di lepas Pantai Pasifik Amerika Tengah dekat Kosta Rika. Baca juga: Sinopsis Jurassic World: Fallen Kingdom, Penyelamatan di Isla Nublar Di pulau tersebut, pengusaha kaya John Hammond (Richard Attenborough) dan tim ilmuwan menciptakan taman margasatwa yang berisi hewan hasil kloning dinosaurus. Suatu hari, seorang pawang dinosaurus dibunuh oleh Velociraptor. Investor taman tersebut, yang diwakili oleh pengacara Donald Gennaro (Martin Ferrero), meminta tim yang terdiri dari para ahli untuk masuk dan memastikan keamanannya. Tim tersebut terdiri dari Ian Malcolm (Jeff Goldblum), Dr. Alan Grant (Sam Neill) dan Dr. Ellie Sattler (Laura Dern). Baca juga: Sinopsis Film Jurassic Park III, Pencarian Anak Hilang Berujung Petaka Setibanya di Isla Nublar, ketiga ilmuwan tersebut terkejut melihat Brachiosaurus. Mereka kemudian mengetahui metode yang digunakan taman margasatwa tersebut untuk melakukan kloning dinosaurus. Dari situlah, mereka mulai memperdebatkan tentang etika kloning yang dilakukan para ilmuwan di pulau tersebut. Ian mencoba memperingatkan tentang ancaman dari praktik rekayasa genetika di Isla Nublar. Baca juga: Sinopsis Film Love Actually, Beragam Sudut Pandang Cerita Cinta Kedatangan mereka disusul oleh cucu John, Lex (Ariana Richards) dan Tim Murphy (Joseph Mazzello), yang mengunjungi Isla Nublar untuk berjalan-jalan. Namun, petualangan mereka berubah menjadi petaka saat badai tropis melanda tempat tersebut. Tak hanya itu, sistem keamanan taman tiba-tiba dinonaktifkan oleh Dennis Nedry (Wayne Knight), yang disuap oleh saingan perusahaan John. Hal itu membuat sebagian besar pagar listrik di taman menjadi terbuka dan memungkinkan semua dinosaurus melarikan diri. Baca juga: Sinopsis Please Love Me, Kisah Kawin Kontrak yang Berujung Rumit Akibatnya, Lex, Tim, dan semua orang yang ada di Isla Nublar harus berjuang bertahan hidup dari ancaman Dinosaurus. Anda penasaran dengan kelanjutan ceritanya? Saksikan kisah selengkapnya dalam film Jurassic Park yang akan ditayangkan Netflix mulai besok, Selasa (16/2/2021).  Tulis komentarmu dengan tagar #JernihBerkomentar dan menangkan e-voucher untuk 90 pemenang! Dapatkan informasi dan insight pilihan redaksi Kompas.com Periksa kembali dan lengkapi data dirimu. Data dirimu akan digunakan untuk verifikasi akun ketika kamu membutuhkan bantuan atau ketika ditemukan aktivitas tidak biasa pada akunmu. Segera lengkapi data dirimu untuk ikutan program #JernihBerkomentar.;https://www.kompas.com/hype/read/2021/02/15/183914166/sinopsis-jurassic-park-petaka-di-taman-dinosaurus-tayang-di-netflix?page=all
295;16;"Amel Akui Sudah Dibilang Mirip Nike Ardilla Sejak SMP JAKARTA, KOMPAS.com - Siti Aisyah Mardhiya Amalia atau Amel semakin dikenal karena sosoknya mirip dengan penyanyi legendaris Nike Ardilla. Amel mengaku sudah dibilang mirip dengan mendiang Nike Ardilla sejak dirinya masih berseragam putih-biru. ""Jadi, aku mulai dibilang mirip itu sejak SMP pas rambutku masih panjang,"" kata Amel dalam siaran Instagram di akun Rossa, Senin (30/8/2021). Baca juga: Trending di Youtube, Ini Lirik Lagu Serupa dari Amel Amilia Julukan mirip Nike Ardilla nyatanya terus didapat oleh Amel ketika dirinya masuk ke SMA. Sejak saat itu, dara berusia 18 tahun tersebut akhirnya mulai mencari tahu sosok Nike Ardilla. ""Pas SMA sering dibilang mirip akhirnya aku mulai cari tahu di social media sosok almarhumah ini ternyata penyanyi legendaris,"" kata Amel. Baca juga: Berawal dari Viral, Amel Kini Bisa Berziarah dan Kunjungi Museum Nike Ardilla Berkat viral di media sosial karena kemiripannya dengan Nike Ardilla, Amel pun akhirnya mengikuti jejak menjadi seorang penyanyi. Amel kini sudah meluncurkan satu buah singel berjudul ""Serupa"".  Tulis komentarmu dengan tagar #JernihBerkomentar dan menangkan e-voucher untuk 90 pemenang! Dapatkan informasi dan insight pilihan redaksi Kompas.com Periksa kembali dan lengkapi data dirimu. Data dirimu akan digunakan untuk verifikasi akun ketika kamu membutuhkan bantuan atau ketika ditemukan aktivitas tidak biasa pada akunmu. Segera lengkapi data dirimu untuk ikutan program #JernihBerkomentar.";https://www.kompas.com/hype/read/2021/08/30/220709866/amel-akui-sudah-dibilang-mirip-nike-ardilla-sejak-smp?page=all
